Position,Team,Played,Drawn,Lost,Goals For,Goals Against,Goal Difference,Points 1
1.0,Witton Albion,40.0,9.0,3.0,81.0,31.0,+50,93
2.0,Stalybridge Celtic,40.0,11.0,7.0,44.0,26.0,+18,77
3.0,Morecambe,40.0,16.0,5.0,72.0,44.0,+28,73
4.0,Fleetwood Town,40.0,9.0,11.0,69.0,44.0,+25,69
5.0,Southport,40.0,14.0,8.0,66.0,48.0,+18,68
6.0,Marine,40.0,11.0,11.0,56.0,39.0,+17,65
7.0,Bishop Auckland,40.0,10.0,13.0,62.0,56.0,+6,61
8.0,Buxton,40.0,11.0,12.0,66.0,61.0,+5,59 2
9.0,Leek Town,40.0,11.0,14.0,48.0,44.0,+4,56
10.0,Frickley Athletic,40.0,6.0,18.0,64.0,62.0,+2,54
11.0,Hyde United,40.0,11.0,15.0,73.0,63.0,+10,53
12.0,Goole Town,40.0,10.0,16.0,68.0,74.0,−6,52
13.0,Droylsden,40.0,11.0,17.0,67.0,70.0,−3,47
14.0,Chorley,40.0,10.0,18.0,55.0,55.0,0,46
15.0,Mossley,40.0,10.0,17.0,55.0,68.0,−13,45 3
16.0,Horwich RMI,40.0,6.0,21.0,62.0,81.0,−19,45
17.0,Matlock Town,40.0,7.0,21.0,52.0,70.0,−18,43
18.0,Bangor City,40.0,12.0,19.0,52.0,70.0,−18,39
19.0,South Liverpool,40.0,9.0,21.0,58.0,92.0,−34,39
20.0,Gainsborough Trinity,40.0,11.0,20.0,57.0,84.0,−27,38
21.0,Shepshed Charterhouse,40.0,7.0,27.0,38.0,83.0,−45,25
