Rank,Surname,Number of bearers 2008,Type,Etymology
1.0,Johansson,265.308,patronymic,son of Johan
2.0,Andersson,263.518,patronymic,son of Anders
3.0,Karlsson,201.681,patronymic,son of Karl
4.0,Nilsson,178.845,patronymic,son of Nils
5.0,Eriksson,142.959,patronymic,son of Erik
6.0,Larsson,129.275,patronymic,son of Lars
7.0,Olsson,113.927,patronymic,son of Ola
8.0,Persson,111.629,patronymic,son of Per
9.0,Svensson,106.886,patronymic,son of Sven
10.0,Gustafsson,74.432,patronymic,son of Gustaf
11.0,Pettersson,67.519,patronymic,son of Petter
12.0,Jonsson,59.307,patronymic,son of Jon
13.0,Jansson,51.346,patronymic,son of Jan
14.0,Hansson,45.009,patronymic,son of Hans
15.0,Bengtsson,35.241,patronymic,son of Bengt
16.0,Jönsson,34.018,patronymic,son of Jöns
17.0,Petersson,31.332,patronymic,son of Peter
18.0,Carlsson,29.967,patronymic,son of Carl
19.0,Lindberg,27.344,landscape,linden + mountain
20.0,Magnusson,27.152,patronymic,son of Magnus
