Round,Race,Pole position,Fastest lap,Most laps led,Driver,Team,Manufacturer,Report
1.0,St. Petersburg,Will Power,Will Power,Scott Dixon,Hélio Castroneves,Team Penske,Chevrolet,Report
2.0,Barber,Hélio Castroneves,Will Power,Scott Dixon,Will Power,Team Penske,Chevrolet,Report
3.0,Long Beach,Ryan Briscoe,Tony Kanaan,Simon Pagenaud,Will Power,Team Penske,Chevrolet,Report
4.0,São Paulo,Will Power,Josef Newgarden,Will Power,Will Power,Team Penske,Chevrolet,Report
5.0,Indianapolis,Ryan Briscoe,Marco Andretti,Marco Andretti,Dario Franchitti,Chip Ganassi Racing,Honda,Report
6.0,Detroit,Scott Dixon,Justin Wilson,Scott Dixon,Scott Dixon,Chip Ganassi Racing,Honda,Report
7.0,Texas,Alex Tagliani,Ryan Briscoe,Scott Dixon,Justin Wilson,Dale Coyne Racing,Honda,Report
8.0,Milwaukee,Dario Franchitti,Ryan Hunter-Reay,Ryan Hunter-Reay,Ryan Hunter-Reay,Andretti Autosport,Chevrolet,Report
9.0,Iowa,Dario Franchitti,Ed Carpenter,Hélio Castroneves,Ryan Hunter-Reay,Andretti Autosport,Chevrolet,Report
10.0,Toronto,Dario Franchitti,Josef Newgarden,Ryan Hunter-Reay,Ryan Hunter-Reay,Andretti Autosport,Chevrolet,Report
11.0,Edmonton,Ryan Hunter-Reay,Josef Newgarden,Alex Tagliani,Hélio Castroneves,Team Penske,Chevrolet,Report
12.0,Mid-Ohio,Will Power,Oriol Servià,Will Power,Scott Dixon,Chip Ganassi Racing,Honda,Report
13.0,Sonoma,Will Power,Ryan Hunter-Reay,Will Power,Ryan Briscoe,Team Penske,Chevrolet,Report
14.0,Baltimore,Will Power,Will Power,Will Power,Ryan Hunter-Reay,Andretti Autosport,Chevrolet,Report
