Player,League,Scottish Cup,League Cup,Challenge Cup,Total
Liam Buchanan,11.0,3.0,0.0,0.0,14.0
Mark Roberts,5.0,1.0,0.0,0.0,6.0
Scott Chaplain,5.0,0.0,0.0,0.0,5.0
Damon Gray,3.0,1.0,0.0,0.0,4.0
Kevin McKinlay,3.0,0.0,0.0,0.0,3.0
Paul Keegan,2.0,0.0,0.0,1.0,3.0
Marc Twaddle,2.0,1.0,0.0,0.0,3.0
Gary Harkins,1.0,0.0,1.0,1.0,3.0
Stephen McKeown,2.0,0.0,0.0,0.0,2.0
Adam Strachan,2.0,0.0,0.0,0.0,2.0
Paul Di Giacomo,1.0,0.0,0.0,1.0,2.0
Simon Donnelly,1.0,0.0,0.0,0.0,1.0
Simon Storey,1.0,0.0,0.0,0.0,1.0
Stevie Murray,0.0,0.0,1.0,0.0,1.0
