Settlement,Cyrillic Name Other Names,Type,Population (2011),Largest ethnic group (2002),Dominant religion (2002)
Sombor,Сомбор,city,47623.0,Serbs,Orthodox Christianity
Aleksa Šantić,Алекса Шантић,village,1770.0,Serbs,Orthodox Christianity
Bački Breg,Бачки Брег (Croatian: Bereg),village,1140.0,Croats,Catholic Christianity
Bački Monoštor,Бачки Моноштор (Croatian: Monoštor),village,3485.0,Croats,Catholic Christianity
Bezdan,Бездан (Hungarian: Bezdán),village,4623.0,Hungarians,Catholic Christianity
Čonoplja,Чонопља,village,3426.0,Serbs,Orthodox Christianity
Doroslovo,Дорослово (Hungarian: Doroszló),village,1497.0,Hungarians,Catholic Christianity
Gakovo,Гаково,village,1810.0,Serbs,Orthodox Christianity
Kljajićevo,Кљајићево,village,5045.0,Serbs,Orthodox Christianity
Kolut,Колут,village,1327.0,Serbs,Orthodox Christianity
Rastina,Растина,village,411.0,Serbs,Orthodox Christianity
Riđica,Риђица,village,2011.0,Serbs,Orthodox Christianity
Stanišić,Станишић,village,3987.0,Serbs,Orthodox Christianity
Stapar,Стапар,village,3282.0,Serbs,Orthodox Christianity
Svetozar Miletić,Светозар Милетић (Hungarian: Nemesmilitics),village,2746.0,Hungarians,Catholic Christianity
