Season,Team Name,Games,Losses,Points
1994,North Shore Indians,20.0,15.0,10.0
1995,North Shore Indians,25.0,13.0,19.0
1996,North Shore Indians,20.0,7.0,25.0
1997,North Shore Indians,20.0,9.0,22.0
1998,North Shore Indians,25.0,11.0,27.0
1999,North Shore Indians,25.0,14.0,21.0
2000,Okanagan Thunder,25.0,19.0,11.0
2001,Okanagan Thunder,20.0,15.0,10.0
2002,North Shore Thunder,20.0,15.0,9.0
2003,North Shore Thunder,20.0,11.0,16.0
2004,Langley Thunder,20.0,19.0,2.0
2005,Langley Thunder,17.0,15.0,4.0
2006,Langley Thunder,18.0,16.0,4.0
2007,Langley Thunder,18.0,12.0,12.0
2008,Langley Thunder,18.0,15.0,6.0
2009,Langley Thunder,18.0,7.0,21.0
2010,Langley Thunder,18.0,12.0,12.0
2011,Langley Thunder,18.0,8.0,18.0
Total,18 seasons,365.0,233.0,249.0
