Rank,Nation,Gold,Silver,Bronze,Total
1,China (CHN),9.0,2.0,3.0,14.0
2,Egypt (EGY),4.0,3.0,3.0,10.0
3,Nigeria (NGR),2.0,3.0,1.0,6.0
4,Iran (IRI),2.0,2.0,1.0,5.0
5,Mexico (MEX),1.0,0.0,2.0,3.0
6,Chinese Taipei (TPE),1.0,0.0,0.0,1.0
6,Ukraine (UKR),1.0,0.0,0.0,1.0
8,Russia (RUS),0.0,4.0,0.0,4.0
9,Iraq (IRQ),0.0,1.0,1.0,2.0
9,Jordan (JOR),0.0,1.0,1.0,2.0
9,Poland (POL),0.0,1.0,1.0,2.0
12,Australia (AUS),0.0,1.0,0.0,1.0
12,Greece (GRE),0.0,1.0,0.0,1.0
12,United Arab Emirates (UAE),0.0,1.0,0.0,1.0
15,Thailand (THA),0.0,0.0,2.0,2.0
16,France (FRA),0.0,0.0,1.0,1.0
16,Laos (LAO),0.0,0.0,1.0,1.0
16,Malaysia (MAS),0.0,0.0,1.0,1.0
16,South Korea (KOR),0.0,0.0,1.0,1.0
16,Syria (SYR),0.0,0.0,1.0,1.0
Total,Total,20.0,20.0,20.0,60.0
