Round,Selection,Name,Position,College,Contract
1.0,5,Glenn Dorsey,Defensive tackle,Louisiana State,Six years
1.0,15 [a ] [e ],Branden Albert,Guard,Virginia,Five years
2.0,35,Brandon Flowers,Cornerback,Virginia Tech,Four years
3.0,73 [e ],Jamaal Charles,Running back,Texas,Three years
3.0,76 [a ],Brad Cottam,Tight end,Tennessee,Three years
3.0,82 [a ],DaJuan Morgan,Safety,North Carolina State,Three years
4.0,105,Will Franklin,Wide receiver,Missouri,Four years
5.0,140 [e ],Brandon Carr,Cornerback,Grand Valley State,Three years
6.0,170,Barry Richardson,Offensive tackle,Clemson,Three years
6.0,182 [a ] [c ],Kevin Robinson,Wide receiver,Utah State,Three years
7.0,210,Brian Johnston,Linebacker,Gardner-Webb,Three years
7.0,239 [d ],Michael Merritt,Tight end,Central Florida,Three years
