Round #,Pick #,Player,Position,College
1.0,26.0,Henry Jones,Defensive Back,Illinois
2.0,54.0,Phil Hansen,Defensive end,North Dakota State
3.0,82.0,Darryl Wren,Defensive back,Pittsburg State
4.0,138.0,Shawn Wilbourn,Defensive Back,Long Beach State
5.0,166.0,Millard Hamilton,Wide receiver,Clark University
6.0,194.0,Amir Rasul,Running back,Florida A&M
8.0,222.0,Brad Lamb,Wide receiver,Anderson
9.0,249.0,Mark Maddox,Linebacker,Northern Michigan
10.0,277.0,Tony DeLorenzo,Guard,New Mexico State
11.0,305.0,Dean Kirkland,Guard,Washington
