Driver,Constructor,Laps,Time/Retired,Grid
Bruce McLaren,McLaren - Ford,28.0,1:40:02.1,6.0
Pedro Rodríguez,BRM,28.0,+ 12.1,8.0
Jacky Ickx,Ferrari,28.0,+ 39.6,3.0
Jackie Stewart,Matra - Ford,27.0,Out of fuel,2.0
Jackie Oliver,Lotus - Ford,26.0,Transmission,15.0
Lucien Bianchi,Cooper - BRM,26.0,+ 2 Laps,12.0
Jo Siffert,Lotus - Ford,25.0,Oil Pressure,9.0
Jean-Pierre Beltoise,Matra,25.0,+ 3 Laps,13.0
Piers Courage,BRM,22.0,Engine,7.0
Denny Hulme,McLaren - Ford,18.0,Halfshaft,5.0
John Surtees,Honda,11.0,Suspension,4.0
Chris Amon,Ferrari,8.0,Radiator,1.0
Brian Redman,Cooper - BRM,6.0,Spun Off,11.0
Richard Attwood,BRM,6.0,Oil Pipe,18.0
Jack Brabham,Brabham - Repco,6.0,Throttle,10.0
Graham Hill,Lotus - Ford,5.0,Halfshaft,14.0
Jochen Rindt,Brabham - Repco,5.0,Engine,17.0
Jo Bonnier,McLaren - BRM,1.0,Wheel,16.0
