Series #,Season #,Title,Directed by,Written by,Original air date,Production code,U.S. viewers (millions)
151.0,1.0,""" My Jerks """,Michael Spiller,Angela Nissel,"January6,2009",801.0,6.76
152.0,2.0,""" My Last Words """,Bill Lawrence,Aseem Batra,"January6,2009",802.0,6.64
153.0,3.0,"""My Saving Grace""",Michael Spiller,Janae Bakken,"January13,2009",803.0,4.48
154.0,4.0,"""My Happy Place""",Ken Whittingham,Taii K. Austin,"January13,2009",804.0,4.48
155.0,5.0,""" My ABC's """,Bill Lawrence,Bill Lawrence,"January27,2009",713.0,5.12
156.0,6.0,"""My Cookie Pants""",Gail Mancuso,Clarence Livingston,"January27,2009",805.0,5.05
157.0,7.0,"""My New Role""",Will Mackenzie,Dave Tennant,"February3,2009",806.0,4.90
158.0,8.0,"""My Lawyer's in Love""",Mark Stegemann,Debra Fordham,"February3,2009",811.0,4.70
159.0,9.0,"""My Absence""",John Putch,Debra Fordham & Andy Schwartz,"February10,2009",812.0,4.60
160.0,10.0,"""My Comedy Show""",Ted Wass,Devin O. Mahoney & C. Rego Marquiis,"February10,2009",807.0,4.23
161.0,11.0,""" My Nah Nah Nah """,John Putch,Kevin Biegel,"March18,2009",712.0,5.80
162.0,12.0,"""Their Story II""",Michael McDonald,Andy Schwartz,"March25,2009",808.0,5.33
163.0,13.0,"""My Full Moon""",John Michel,Kevin Biegel,"April1,2009",813.0,5.04
164.0,14.0,"""My Soul on Fire: Part 1""",Bill Lawrence,Bill Callahan,"April8,2009",809.0,4.66
165.0,15.0,"""My Soul on Fire: Part 2""",Bill Lawrence,Bill Callahan,"April15,2009",810.0,5.30
166.0,16.0,"""My Cuz""",Linda Mendoza,Kevin Biegel,"April22,2009",814.0,4.66
167.0,17.0,"""My Chief Concern""",Zach Braff,Neil Goldman & Garrett Donovan,"May5,2009",815.0,3.83
