State,Abbr.,Capital,Largest city,Statehood,Population est. (2012),House seat(s)
Alabama,AL,Montgomery,Birmingham,"December 14, 1819",4822023.0,7.0
Alaska,AK,Juneau,Anchorage,"January 3, 1959",731449.0,1.0
Arizona,AZ,Phoenix,Phoenix,"February 14, 1912",6553255.0,9.0
Arkansas,AR,Little Rock,Little Rock,"June 15, 1836",2949131.0,4.0
California,CA,Sacramento,Los Angeles,"September 9, 1850",38041430.0,53.0
Colorado,CO,Denver,Denver,"August 1, 1876",5187582.0,7.0
Connecticut,CT,Hartford,Bridgeport,"January 9, 1788",3590347.0,5.0
Delaware,DE,Dover,Wilmington,"December 7, 1787",917092.0,1.0
Florida,FL,Tallahassee,Jacksonville,"March 3, 1845",19317568.0,27.0
Georgia,GA,Atlanta,Atlanta,"January 2, 1788",9919945.0,14.0
Hawaii,HI,Honolulu,Honolulu,"August 21, 1959",1392313.0,2.0
Idaho,ID,Boise,Boise,"July 3, 1890",1595728.0,2.0
Illinois,IL,Springfield,Chicago,"December 3, 1818",12875255.0,18.0
Indiana,IN,Indianapolis,Indianapolis,"December 11, 1816",6537334.0,9.0
Iowa,IA,Des Moines,Des Moines,"December 28, 1846",3078186.0,4.0
Kansas,KS,Topeka,Wichita,"January 29, 1861",2885905.0,4.0
Kentucky,KY,Frankfort,Louisville,"June 1, 1792",4380415.0,6.0
Louisiana,LA,Baton Rouge,New Orleans,"April 30, 1812",4601893.0,6.0
Maine,ME,Augusta,Portland,"March 15, 1820",1329192.0,2.0
Maryland,MD,Annapolis,Baltimore,"April 28, 1788",5884563.0,8.0
Massachusetts,MA,Boston,Boston,"February 6, 1788",6646144.0,9.0
Michigan,MI,Lansing,Detroit,"January 26, 1837",9883360.0,14.0
Minnesota,MN,St. Paul,Minneapolis,"May 11, 1858",5379139.0,8.0
Mississippi,MS,Jackson,Jackson,"December 10, 1817",2984926.0,4.0
Missouri,MO,Jefferson City,Kansas City,"August 10, 1821",6021988.0,8.0
Montana,MT,Helena,Billings,"November 8, 1889",1005141.0,1.0
Nebraska,NE,Lincoln,Omaha,"March 1, 1867",1855525.0,3.0
Nevada,NV,Carson City,Las Vegas,"October 31, 1864",2758931.0,4.0
New Hampshire,NH,Concord,Manchester,"June 21, 1788",1320718.0,2.0
New Jersey,NJ,Trenton,Newark,"December 18, 1787",8864590.0,12.0
New Mexico,NM,Santa Fe,Albuquerque,"January 6, 1912",2085538.0,3.0
New York,NY,Albany,New York,"July 26, 1788",19570261.0,27.0
North Carolina,NC,Raleigh,Charlotte,"November 21, 1789",9752073.0,13.0
North Dakota,ND,Bismarck,Fargo,"November 2, 1889",699628.0,1.0
Ohio,OH,Columbus,Columbus,"March 1, 1803",11544225.0,16.0
Oklahoma,OK,Oklahoma City,Oklahoma City,"November 16, 1907",3814820.0,5.0
Oregon,OR,Salem,Portland,"February 14, 1859",3899353.0,5.0
Pennsylvania,PA,Harrisburg,Philadelphia,"December 12, 1787",12763536.0,18.0
Rhode Island,RI,Providence,Providence,"May 29, 1790",1050292.0,2.0
South Carolina,SC,Columbia,Columbia,"May 23, 1788",4723723.0,7.0
South Dakota,SD,Pierre,Sioux Falls,"November 2, 1889",833354.0,1.0
Tennessee,TN,Nashville,Memphis,"June 1, 1796",6456243.0,9.0
Texas,TX,Austin,Houston,"December 29, 1845",26059203.0,36.0
Utah,UT,Salt Lake City,Salt Lake City,"January 4, 1896",2855287.0,4.0
Vermont,VT,Montpelier,Burlington,"March 4, 1791",626011.0,1.0
Virginia,VA,Richmond,Virginia Beach,"June 25, 1788",8185867.0,11.0
Washington,WA,Olympia,Seattle,"November 11, 1889",6897012.0,10.0
West Virginia,WV,Charleston,Charleston,"June 20, 1863",1855413.0,3.0
Wisconsin,WI,Madison,Milwaukee,"May 29, 1848",5726398.0,8.0
Wyoming,WY,Cheyenne,Cheyenne,"July 10, 1890",576412.0,1.0
