Finish,Start,Car,Driver,Make,Sponsor,Pts/bns,Laps,Status,Winnings
1.0,3.0,48.0,Jimmie Johnson,Chevrolet,Lowe's / Jimmie Johnson Foundation,195/10,250.0,Running,302801.0
2.0,10.0,24.0,Jeff Gordon,Chevrolet,Pepsi / DuPont,175/5,250.0,Running,211426.0
3.0,4.0,42.0,Juan Montoya,Chevrolet,Target,170/5,250.0,Running,195773.0
4.0,9.0,5.0,Mark Martin,Chevrolet,Kellogg's / Carquest,165/5,250.0,Running,136625.0
5.0,20.0,14.0,Tony Stewart,Chevrolet,Office Depot / Old Spice,160/5,250.0,Running,143248.0
6.0,11.0,99.0,Carl Edwards,Ford,Aflac,150/0,250.0,Running,158356.0
7.0,31.0,6.0,David Ragan,Ford,UPS,146/0,250.0,Running,117500.0
8.0,24.0,2.0,Kurt Busch,Dodge,Miller Lite,147/5,250.0,Running,121925.0
9.0,8.0,33.0,Clint Bowyer,Chevrolet,Prilosec OTC / Wal-Mart,138/0,250.0,Running,113950.0
10.0,7.0,29.0,Kevin Harvick,Chevrolet,Shell / Pennzoil,134/0,250.0,Running,142828.0
11.0,16.0,7.0,Casey Mears,Chevrolet,Jack Daniel's,130/0,250.0,Running,121525.0
