Year,Champion,City,LLWS,Record
2001.0,Brownsburg LL,Brownsburg,US Semifinal,3–1
2002.0,Valley Sports American LL,Louisville,Champions,6–0
2003.0,Tallmadge LL,Tallmadge,Group Stage,1–2
2004.0,Southern LL,Owensboro,Group Stage,1–2
2005.0,Southern LL,Owensboro,Group Stage,0–3
2006.0,Lemont LL,Lemont,US Semifinal,2–2
2007.0,West Side LL,Hamilton,Group Stage,1–2
2008.0,Jefferson/GRC American LL,Jeffersonville,Group Stage,0–3
2009.0,Logan County/Russellville LL,Russellville,Group Stage,0–3
2010.0,West Side LL,Hamilton,Group Stage,1–2
2011.0,North Oldham LL,La Grange,Round 2,1–2
2012.0,New Castle LL,New Castle,Round 2,1–2
2013.0,Grosse Pointe Woods-Shores LL,Grosse Pointe Woods,Round 1,0–3
