Game,Date,Opponent,Score,Location,Record
46.0,Fri. Feb. 1,Minnesota Timberwolves,95-98 (OT),FleetCenter,26-20
47.0,Sun. Feb. 3,Los Angeles Clippers,104-91,FleetCenter,27-20
48.0,Tue. Feb. 5,@ Charlotte Hornets,82-79,Charlotte Coliseum,28-20
49.0,Wed. Feb. 6,Sacramento Kings,85-102,FleetCenter,28-21
50.0,Tue. Feb. 12,@ Denver Nuggets,110-93,Pepsi Center,29-21
51.0,Wed. Feb. 13,@ Golden State Warriors,75-92,The Arena in Oakland,29-22
52.0,Fri. Feb. 15,@ Portland Trail Blazers,107-104,Rose Garden,30-22
53.0,Sat. Feb. 16,@ Seattle SuperSonics,79-99,KeyArena,30-23
54.0,Tue. Feb. 19,@ Los Angeles Lakers,109-108,Staples Center,31-23
55.0,Thu. Feb. 21,@ Dallas Mavericks,92-98,American Airlines Center,31-24
56.0,Sat. Feb. 23,@ Houston Rockets,89-99,Compaq Center,31-25
57.0,Wed. Feb. 27,Milwaukee Bucks,92-95,FleetCenter,31-26
