Game,February,Opponent,Score,Record
7.0,1.0,@ Pittsburgh Penguins,4 - 3,2-5-0
8.0,2.0,Tampa Bay Lightning,3 - 3 OT,2-5-1
9.0,4.0,@ Ottawa Senators,2 - 1,3-5-1
10.0,8.0,Washington Capitals,5 - 4,4-5-1
11.0,9.0,@ New Jersey Devils,4 - 1,4-6-1
12.0,11.0,@ Tampa Bay Lightning,3 - 2,5-6-1
13.0,15.0,@ Buffalo Sabres,2 - 1,6-6-1
14.0,16.0,Montreal Canadiens,2 - 2 OT,6-6-2
15.0,18.0,@ Montreal Canadiens,5 - 2,6-7-2
16.0,20.0,@ Tampa Bay Lightning,3 - 1,7-7-2
17.0,21.0,@ Florida Panthers,5 - 3,8-7-2
18.0,24.0,Hartford Whalers,2 - 1,8-8-2
19.0,26.0,@ Buffalo Sabres,4 - 2,9-8-2
20.0,28.0,Florida Panthers,0 - 0 OT,9-8-3
