Draw,Language,Artist,Song,English translation,Place,Points
1.0,English,Andrea Demirović,""" Just Get Out of My Life """,—,11.0,44.0
2.0,"English , Romani",Gipsy.cz,""" Aven Romale """,Come in gypsies,18.0,0.0
3.0,English,Patrick Ouchène,""" Copycat """,—,17.0,1.0
4.0,English,Petr Elfimov,""" Eyes That Never Lie """,—,13.0,25.0
5.0,"French , English",Malena Ernman,""" La voix """,The voice,4.0,105.0
6.0,"English , Armenian",Inga and Anush,""" Jan Jan "" (Ջան Ջան)",My dear,5.0,99.0
7.0,"English , Catalan",Susanne Georgi,""" La teva decisió (Get a Life) """,Your decision,15.0,8.0
8.0,English,Lovebugs,""" The Highest Heights """,—,14.0,15.0
9.0,English,Hadise,""" Düm Tek Tek """,— [A],2.0,172.0
10.0,"English , Hebrew , Arabic",Noa and Mira Awad,""" There Must Be Another Way """,—,7.0,75.0
11.0,English,Krassimir Avramov,""" Illusion """,—,16.0,7.0
12.0,English,Yohanna,""" Is It True? """,—,1.0,174.0
13.0,Macedonian,Next Time,""" Nešto što kje ostane "" (Нешто што ќе остане)",Something that will remain,10.0,45.0
14.0,English,Elena,""" The Balkan Girls """,—,9.0,67.0
15.0,English,Waldo's People,""" Lose Control """,—,12.0,42.0
16.0,Portuguese,Flor-de-Lis,""" Todas as ruas do amor """,All the streets of love,8.0,70.0
17.0,English,Chiara,""" What If We """,—,6.0,86.0
18.0,Bosnian,Regina,""" Bistra voda """,Clear water,3.0,125.0
