Year,Result,Award,Category,Film or series,Character
2007.0,Nominated*,Inside Soap Awards,Best Actress,Hollyoaks,Jacqui McQueen
2009.0,Nominated*,Inside Soap Awards,Best Actress,Hollyoaks,Jacqui McQueen
2009.0,Won,Inside Soap Awards,Best Family (for McQueen family ),Hollyoaks,Jacqui McQueen
2010.0,Nominated*,Inside Soap Awards,Best Actress,Hollyoaks,Jacqui McQueen
2011.0,Nominated*,National Television Awards,Outstanding Serial Drama Performance,Hollyoaks,Jacqui McQueen
2011.0,Nominated,All About Soap Bubble Awards,Best Actress,Hollyoaks,Jacqui McQueen
2011.0,Shortlisted*,British Soap Awards,Best Actress,Hollyoaks,Jacqui McQueen
2011.0,Nominated,British Soap Awards,Best Dramatical Performance,Hollyoaks,Jacqui McQueen
2011.0,Nominated*,TV Choice Awards,Best Soap Actress,Hollyoaks,Jacqui McQueen
2011.0,Shortlisted*,Inside Soap Awards,Best Actress,Hollyoaks,Jacqui McQueen
2011.0,Nominated*,Inside Soap Awards,Best Dramatical Performance,Hollyoaks,Jacqui McQueen
2011.0,Nominated*,Inside Soap Awards,Best Wedding,Hollyoaks,Jacqui McQueen
2011.0,Nominated,Royal Television Society North West Awards,Best Performance in a Continuing Drama,Hollyoaks,Jacqui McQueen
2012.0,Nominated*,National Television Awards,Outstanding Serial Drama Performance,Hollyoaks,Jacqui McQueen
2012.0,Nominated,Shorty Awards,Best Actress,n/a,n/a
2012.0,Nominated,All About Soap Awards,Best Actress,Hollyoaks,Jacqui McQueen
2013.0,Won,British Soap Awards,Best Actress,Hollyoaks,Jacqui McQueen
2013.0,Nominated,British Soap Awards,Best Dramatic Performance,Hollyoaks,Jacqui McQueen
