Season,Games,Lost,Tied,Points,Goals for,Goals against,Standing
1998–99,80.0,32.0,13,81.0,219.0,237.0,"1st, Atlantic"
1999–00,80.0,36.0,7,77.0,228.0,240.0,"3rd, Atlantic"
2000–01,80.0,35.0,5,80.0,225.0,244.0,"4th, New England"
2001–02,80.0,25.0,11,96.0,229.0,209.0,"1st, North"
2002–03,80.0,51.0,7,48.0,175.0,275.0,"5th, North"
2003–04,80.0,36.0,6,76.0,208.0,242.0,"6th, Atlantic"
2004–05,80.0,27.0,5,100.0,242.0,190.0,"3rd, Atlantic"
2005–06,80.0,37.0,—,72.0,222.0,257.0,"5th, Atlantic"
2006–07,80.0,30.0,—,88.0,212.0,220.0,"5th, Atlantic"
2007–08,80.0,43.0,—,62.0,183.0,270.0,"7th, Atlantic"
2008–09,80.0,36.0,—,79.0,213.0,243.0,"6th, Atlantic"
2009–10,80.0,31.0,—,88.0,239.0,232.0,"4th, Atlantic"
