Game,Date,Opponent,Result,Vikings points,Opponents,Record,Attendance
1.0,Sept. 15,at Green Bay Packers,Win,32.0,17.0,1-0,56267.0
2.0,Sept. 22,at Detroit Lions,Win,7.0,6.0,2-0,49703.0
3.0,Sept. 29,Chicago Bears,Win,11.0,7.0,3-0,46217.0
4.0,Oct. 6,at Dallas Cowboys,Win,23.0,21.0,4-0,57847.0
5.0,Oct. 13,Houston Oilers,Win,51.0,10.0,5-0,48006.0
6.0,Oct. 20,Detroit Lions,Loss,16.0,20.0,5-1,47807.0
7.0,Oct. 27,New England Patriots,Loss,14.0,17.0,5-2,48177.0
8.0,Nov. 3,at Chicago Bears,Win,17.0,0.0,6-2,33343.0
9.0,Nov. 11,at St. Louis Cardinals,Win,28.0,24.0,7-2,50183.0
10.0,Nov. 17,Green Bay Packers,Loss,7.0,19.0,7-3,47924.0
11.0,Nov. 24,at Los Angeles Rams,Loss,17.0,20.0,7-4,90266.0
12.0,Dec. 1,New Orleans Saints,Win,29.0,9.0,8-4,44202.0
13.0,Dec. 7,Atlanta Falcons,Win,23.0,10.0,9-4,47105.0
14.0,Dec. 14,at Kansas City Chiefs,Win,35.0,15.0,10-4,35480.0
