Year,Track,50 cc,125 cc,Report
1983.0,Rijeka,Stefan Dörflinger,Bruno Kneubühler,Report
1982.0,Rijeka,Eugenio Lazzarini,Eugenio Lazzarini,Report
1981.0,Rijeka,Ricardo Tormo,Loris Reggiani,Report
1980.0,Rijeka,Ricardo Tormo,Guy Bertin,Report
1979.0,Rijeka,Eugenio Lazzarini,Angel Nieto,Report
1978.0,Rijeka,Ricardo Tormo,Angel Nieto,Report
1977.0,Opatija,Angel Nieto,Pier Paolo Bianchi,Report
1976.0,Opatija,Ulrich Graf,Pier Paolo Bianchi,Report
1975.0,Opatija,Angel Nieto,Dieter Braun,Report
1974.0,Opatija,Henk van Kessel,Kent Andersson,Report
1973.0,Opatija,Jan de Vries,Kent Andersson,Report
1972.0,Opatija,Jan Bruins,Kent Andersson,Report
1970.0,Opatija,Angel Nieto,Dieter Braun,Report
1969.0,Opatija,Paul Lodewijkx,Dieter Braun,Report
