Constituency,Electorate,Votes,Turnout,Yes,No,Spoilt,Percent Yes
Cork City,53019.0,38850.0,73.3,20765.0,15392.0,2693.0,57.4
Dublin North–East,50323.0,36579.0,72.7,18651.0,16496.0,1432.0,53.1
Dublin North–West,69174.0,47638.0,68.9,26095.0,19210.0,2333.0,57.6
Dublin South,82659.0,57560.0,69.6,32669.0,21504.0,3387.0,60.3
Dublin Townships,52664.0,37690.0,71.6,14810.0,21336.0,1544.0,41
Athlone–Longford,38295.0,29849.0,77.9,15648.0,11367.0,2834.0,57.9
Carlow–Kildare,48536.0,36793.0,75.8,18745.0,14407.0,3641.0,56.5
Cavan,47008.0,37824.0,80.5,17412.0,16508.0,3904.0,51.3
Clare,62551.0,49731.0,79.5,29279.0,16454.0,3998.0,64
Cork North,47822.0,39372.0,82.3,17458.0,16350.0,5564.0,51.6
Cork South–East,41669.0,32061.0,76.9,13764.0,12733.0,5564.0,51.9
Cork West,67017.0,53866.0,80.4,19741.0,24668.0,9457.0,44.5
Donegal East,48975.0,36908.0,75.4,18680.0,13041.0,5187.0,58.9
Donegal West,38532.0,27639.0,71.7,14160.0,11086.0,2393.0,56.1
Dublin County,83457.0,58855.0,70.5,26901.0,28840.0,3114.0,48.3
Galway East,49476.0,34642.0,70.0,21273.0,10049.0,3320.0,67.9
Galway West,42796.0,26141.0,61.1,17836.0,6234.0,2071.0,74.1
Kerry North,48621.0,35533.0,73.1,21292.0,10857.0,3384.0,66.2
Kerry South,35390.0,26325.0,74.4,13658.0,9573.0,3094.0,58.8
Kilkenny,40900.0,33589.0,82.1,16926.0,13746.0,2917.0,55.2
Leitrim,36368.0,27551.0,75.8,12583.0,8429.0,6539.0,59.9
Leix–Offaly,60945.0,48344.0,79.3,25654.0,17717.0,4973.0,59.2
Limerick,81397.0,66078.0,81.2,35187.0,21954.0,8937.0,61.6
Louth,38570.0,30311.0,78.6,16326.0,11688.0,2297.0,58.3
Mayo North,38170.0,25934.0,67.9,15900.0,8247.0,1787.0,65.8
Mayo South,59999.0,42205.0,70.3,22225.0,15734.0,4246.0,58.6
Meath–Westmeath,61654.0,49094.0,79.6,27586.0,18704.0,2804.0,59.6
Monaghan,36469.0,31511.0,86.4,16189.0,12107.0,3215.0,57.2
Roscommon,42103.0,32170.0,76.4,15481.0,12910.0,3779.0,54.5
Sligo,36516.0,28475.0,78.0,10780.0,11916.0,5779.0,47.5
Tipperary,82727.0,67656.0,81.8,34776.0,28041.0,4839.0,55.4
Waterford,51596.0,41192.0,79.8,22118.0,16578.0,2496.0,57.2
Wexford,61486.0,48366.0,78.7,23129.0,20391.0,4846.0,53.1
