Game,March,Opponent,Score,Record
63.0,1.0,Detroit Red Wings,3 - 2,22-30-11
64.0,5.0,Toronto Maple Leafs,4 - 1,22-31-11
65.0,8.0,Cleveland Barons,6 - 1,23-31-11
66.0,12.0,Washington Capitals,8 - 2,24-31-11
67.0,15.0,Philadelphia Flyers,2 - 2,24-31-12
68.0,18.0,Boston Bruins,6 - 3,24-32-12
69.0,19.0,@ Minnesota North Stars,7 - 7,24-32-13
70.0,22.0,@ St. Louis Blues,6 - 1,25-32-13
71.0,24.0,@ Washington Capitals,11 - 4,26-32-13
72.0,25.0,@ Toronto Maple Leafs,5 - 2,27-32-13
73.0,27.0,St. Louis Blues,5 - 2,28-32-13
74.0,29.0,New York Islanders,5 - 1,29-32-13
