Shirt No,Player,Birth Date,Weight,Height
1.0,Rafael Pascual,16 March 1970,94.0,194.0
2.0,Ibán Pérez,13 November 1983,89.0,198.0
3.0,José Luis Lobato,19 February 1977,81.0,186.0
4.0,Manuel Sevillano,2 July 1981,90.0,194.0
7.0,Guillermo Hernán,25 July 1982,68.0,181.0
10.0,Miguel Ángel Falasca,29 April 1973,92.0,195.0
11.0,Javier Subiela,22 March 1984,88.0,198.0
12.0,Guillermo Falasca,24 October 1977,104.0,200.0
14.0,José Luis Moltó,29 June 1975,95.0,207.0
16.0,Julián García-Torres,8 November 1980,93.0,202.0
17.0,Enrique de la Fuente,11 August 1975,95.0,195.0
18.0,Israel Rodríguez,27 August 1981,95.0,195.0
