Season,Champion,Motorcycle,Wins,2nd pl.,3rd pl.,Team
1988.0,  Fred Merkel,Honda RC30,2.0,2.0,1.0,Rumi Honda
1989.0,  Fred Merkel,Honda RC30,3.0,2.0,5.0,Rumi Honda
1990.0,  Raymond Roche,Ducati 851,8.0,7.0,2.0,Squadra Corse Ducati Lucchinelli
1991.0,  Doug Polen,Ducati 888,17.0,4.0,0.0,Fast by Ferracci Ducati
1992.0,  Doug Polen,Ducati 888,9.0,4.0,2.0,Team Police Ducati
1993.0,  Scott Russell,Kawasaki Ninja ZX-7RR,5.0,12.0,1.0,Team Muzzy Kawasaki
1994.0,  Carl Fogarty,Ducati 916,10.0,4.0,0.0,Virginio Ferrari Ducati Corse
1995.0,  Carl Fogarty,Ducati 916,13.0,6.0,0.0,Virginio Ferrari Ducati Corse
1996.0,  Troy Corser,Ducati 916,7.0,5.0,1.0,Promotor Racing Team
1997.0,  John Kocinski,Honda RC45,9.0,4.0,4.0,Castrol Honda-HRC
1998.0,  Carl Fogarty,Ducati 916,3.0,6.0,5.0,Ducati Performance
1999.0,  Carl Fogarty,Ducati 996,11.0,6.0,2.0,Ducati Performance
2000.0,  Colin Edwards,Honda VTR1000 SP/RC51,8.0,2.0,1.0,Castrol Honda-HRC
2001.0,  Troy Bayliss,Ducati 996R,6.0,6.0,3.0,Ducati Infostrada
2002.0,  Colin Edwards,Honda VTR1000 SP-2/RC51,11.0,10.0,4.0,Castrol Honda-HRC
2003.0,  Neil Hodgson,Ducati 999F03,13.0,7.0,0.0,Ducati FILA
2004.0,  James Toseland,Ducati 999F04,3.0,9.0,2.0,Ducati FILA
2005.0,  Troy Corser,Suzuki GSX-R1000 K5,8.0,5.0,5.0,Alstare Suzuki Corona
2006.0,  Troy Bayliss,Ducati 999F06,12.0,3.0,1.0,Ducati Xerox
2007.0,  James Toseland,Honda CBR1000RR,8.0,5.0,1.0,Hannspree Ten Kate Honda
2008.0,  Troy Bayliss,Ducati 1098 F08,13.0,6.0,5.0,Ducati Xerox Team
2009.0,  Ben Spies,Yamaha YZF-R1,14.0,2.0,1.0,Yamaha World Superbike Team
2010.0,  Max Biaggi,Aprilia RSV4 1000,10.0,2.0,2.0,Aprilia Alitalia Racing
2011.0,  Carlos Checa,Ducati 1098R,15.0,0.0,6.0,Althea Racing
2012.0,  Max Biaggi,Aprilia RSV4 1000,5.0,2.0,4.0,Aprilia Racing Team
