Rd #,Pick #,Player,Team (League),Reg GP,Pl GP
1.0,9.0,Cam Neely,Portland Winterhawks ( WHL ),171.0,7.0
2.0,30.0,David Bruce,Kitchener Rangers ( OHL ),143.0,1.0
3.0,50.0,Scott Tottle,Peterborough Petes ( OHL ),0.0,0.0
4.0,70.0,Tim Lorenz,Portland Winterhawks ( WHL ),0.0,0.0
5.0,90.0,Doug Quinn,Nanaimo Islanders ( WHL ),0.0,0.0
6.0,110.0,Dave Lowry,London Knights ( OHL ),165.0,3.0
7.0,130.0,Terry Maki,Brantford Alexanders ( OHL ),0.0,0.0
8.0,150.0,John Labatt,University of Minnesota ( NCAA ),0.0,0.0
9.0,170.0,Allan Measures,Calgary Wranglers ( WHL ),0.0,0.0
10.0,190.0,Roger Grillo,University of Maine ( NCAA ),0.0,0.0
11.0,210.0,Steve Kayser,University of Vermont ( NCAA ),0.0,0.0
12.0,230.0,Jay Mazur,University of Maine ( NCAA ),47.0,6.0
