Heat,Lane,Name,Nationality,Time
8.0,5.0,Domenico Fioravanti,Italy,1:01.32
8.0,1.0,Daniel Málek,Czech Republic,1:01.56
8.0,4.0,Ed Moses,United States,1:01.59
7.0,7.0,Károly Güttler,Hungary,1:01.66
7.0,5.0,Kosuke Kitajima,Japan,1:01.68
7.0,3.0,Morgan Knabe,Canada,1:01.81
7.0,6.0,Dmitry Komornikov,Russia,1:01.87
9.0,8.0,Marcel Wouda,Netherlands,1:02.00
9.0,7.0,Jens Kruppa,Germany,1:02.09
9.0,4.0,Roman Sloudnov,Russia,1:02.15
8.0,3.0,Brett Petersen,South Africa,1:02.20
9.0,5.0,Jarno Pihlava,Finland,1:02.21
9.0,2.0,Oleg Lisogor,Ukraine,1:02.24
7.0,8.0,Hugues Duboscq,France,1:02.40
8.0,6.0,Darren Mew,Great Britain,1:02.42
8.0,2.0,Remo Lütolf,Switzerland,1:02.54
6.0,5.0,Phil Rogers,Australia,1:02.77
8.0,8.0,José Couto,Portugal,1:02.79
6.0,6.0,Elvin Chia,Malaysia,1:02.81
9.0,6.0,Mark Warnecke,Germany,1:02.85
9.0,3.0,Akira Hayashi,Japan,1:02.86
6.0,4.0,Patrick Schmollinger,Austria,1:02.87
7.0,2.0,Adam Whitehead,Great Britain,1:02.91
6.0,2.0,Marek Krawczyk,Poland,1:03.00
7.0,4.0,Pat Calhoun,United States,1:03.03
9.0,1.0,Patrik Isaksson,Sweden,1:03.05
6.0,3.0,Steven Ferguson,New Zealand,1:03.06
7.0,1.0,Terence Parkin,South Africa,1:03.11
8.0,7.0,Zhu Yi,China,1:03.20
6.0,7.0,Vanja Rogulj,Croatia,1:03.58
6.0,1.0,Eduardo Fischer,Brazil,1:03.72
6.0,8.0,Raiko Pachel,Estonia,1:03.99
5.0,5.0,Tal Stricker,Israel,1:03.99
4.0,3.0,Valērijs Kalmikovs,Latvia,1:04.02
4.0,7.0,Arsenio López,Puerto Rico,1:04.02
3.0,1.0,Vadim Tatarov,Moldova,1:04.12
3.0,4.0,Francisco Suriano,El Salvador,1:04.31
5.0,6.0,Alvaro Fortuny,Guatemala,1:04.35
5.0,3.0,Alwin de Prins,Luxembourg,1:04.37
5.0,2.0,Yang Shang-Hsuan,Chinese Taipei,1:04.54
4.0,5.0,Andrew Bree,Ireland,1:04.58
4.0,2.0,Nikola Savčić,Yugoslavia,1:04.64
5.0,4.0,Alfredo Jacobo,Mexico,1:04.67
5.0,8.0,Iván Rodríguez Mesa,Panama,1:04.68
4.0,8.0,Joe Kyong-Fan,South Korea,1:04.71
5.0,7.0,Aliaksandr Hukau,Belarus,1:04.96
3.0,5.0,Wickus Nienaber,Swaziland,1:04.98
2.0,4.0,Juan José Madrigal,Costa Rica,1:05.14
3.0,2.0,Jorg Lindemeier,Namibia,1:05.25
3.0,3.0,Matthew Kwok Hon Ming,Hong Kong,1:05.28
2.0,3.0,Sylvain Fauré,Monaco,1:05.51
4.0,4.0,Hjalti Gudmundsson,Iceland,1:05.55
5.0,1.0,Sergio Andres Ferreyra,Argentina,1:05.75
3.0,7.0,Aleksandr Savitsky,Kazakhstan,1:05.95
2.0,6.0,Jean Luc Razakarivony,Madagascar,1:05.97
2.0,5.0,Ahmed Al-Kudmani,Saudi Arabia,1:06.07
4.0,1.0,Daniel Liew,Singapore,1:06.41
3.0,8.0,Krasimir Zahov,Bulgaria,1:07.09
4.0,6.0,Yevgeny Petrashov,Kyrgyzstan,1:07.32
3.0,6.0,Hakan Kiper,Turkey,1:07.46
1.0,3.0,Antonio Leon Candia,Paraguay,1:08.12
2.0,2.0,Malick Fall,Senegal,1:08.60
1.0,5.0,Kieran Chan,Papua New Guinea,1:13.34
2.0,7.0,Karar Samedul Islam,Bangladesh,1:14.93
1.0,4.0,Joe Atuhaire,Uganda,1:22.35
2.0,1.0,Facinet Bangoura,Guinea,DSQ
