Season,Led team in scoring,Led team in rebounding,30 points,20 rebounds,10 rebounds,20-20,Double double,5 blocks
2004–05,6.0,55.0,0.0,3.0,43.0,0.0,32.0,2.0
2005–06,20.0,70.0,0.0,3.0,62.0,2.0,60.0,2.0
2006–07,33.0,74.0,6.0,4.0,64.0,4.0,60.0,5.0
2007–08,34.0,76.0,11.0,11.0,72.0,8.0,69.0,8.0
2008–09,39.0,70.0,9.0,10.0,63.0,9.0,63.0,15.0
2009–10,35.0,70.0,5.0,9.0,70.0,3.0,64.0,13.0
2010–11,55.0,71.0,16.0,8.0,68.0,6.0,66.0,10.0
2011–12,28.0,48.0,5.0,10.0,44.0,9.0,43.0,3.0
2012–13,15.0,55.0,3.0,4.0,54.0,1.0,48.0,7.0
Regular season,265.0,589.0,55.0,62.0,540.0,42.0,505.0,65.0
Playoffs,24.0,52.0,6.0,7.0,45.0,5.0,42.0,11.0
