Township,County,Pop. (2010),Land ( sqmi ),Water (sqmi),Latitude,Longitude,GEO ID,ANSI code
Page,Cass,52.0,35.802,0.022,47.202758,-97.50439,3801760540.0,1036398.0
Painted Woods,Burleigh,118.0,36.323,1.326,47.115568,-100.881204,3801560580.0,1759343.0
Palermo,Mountrail,32.0,33.047,1.162,48.326946,-102.250744,3806160660.0,1037045.0
Palmer,Divide,17.0,35.259,0.623,48.691215,-103.200812,3802360700.0,1037014.0
Paradise,Eddy,39.0,32.983,2.235,47.610726,-98.565277,3802760740.0,1759410.0
Paris,Stutsman,23.0,32.79,3.144,47.131651,-99.153914,3809360780.0,1036492.0
Park,Pembina,61.0,35.909,0.016,48.675832,-97.726149,3806760820.0,1036719.0
Parshall,Mountrail,54.0,35.976,0.046,47.986842,-102.203674,3806160980.0,1037018.0
Passport,Ward,46.0,33.412,3.09,48.333297,-101.862997,3810161060.0,1036947.0
Paulson,Towner,30.0,34.911,1.147,48.58671,-99.168071,3809561140.0,1759660.0
Peabody,Bottineau,18.0,35.6,0.447,48.857266,-100.632237,3800961180.0,1759289.0
Peace,Kidder,28.0,34.019,2.143,46.683942,-99.60874,3804361220.0,1037059.0
Peaceful Valley,Slope,19.0,36.892,0.042,46.587751,-103.235368,3808761260.0,1037253.0
Pearl,Golden Valley,8.0,72.191,0.108,47.247025,-103.881061,3803361340.0,1759436.0
Pearl Lake,LaMoure,54.0,35.271,0.763,46.413375,-98.212381,3804561380.0,1036896.0
Pelican,Ramsey,39.0,25.793,1.0,48.162231,-99.112887,3807161500.0,1759590.0
Pembina,Pembina,82.0,64.478,0.369,48.944133,-97.310196,3806761620.0,1036735.0
Perry,Cavalier,45.0,35.83,0.206,48.688501,-98.378094,3801961740.0,1759378.0
Perth,Walsh,52.0,34.696,1.244,48.243948,-98.089,3809961820.0,1036522.0
Petersburg,Nelson,29.0,46.258,1.087,47.962079,-97.957505,3806361900.0,1036568.0
Peterson,Stutsman,34.0,34.509,1.738,46.940293,-99.373195,3809361940.0,1036477.0
Petersville,Kidder,15.0,34.012,1.929,47.179948,-99.555396,3804361980.0,1759475.0
Pettibone,Kidder,45.0,32.134,3.621,47.107071,-99.544763,3804362100.0,2397853.0
Pickard,Williams,276.0,35.779,0.061,48.240484,-103.548351,3810562140.0,1036989.0
Pickard,Sheridan,28.0,34.824,1.215,47.464136,-100.622456,3808362180.0,1759635.0
Pickering,Bottineau,193.0,35.557,0.013,48.856489,-100.513696,3800962300.0,1759290.0
Picton,Towner,27.0,44.107,0.221,48.948349,-99.447357,3809562420.0,1759661.0
Pierce,Barnes,74.0,35.173,0.166,47.205307,-98.386921,3800362460.0,1036440.0
Pilot Mound,Griggs,41.0,36.063,0.134,47.636043,-98.181971,3803962580.0,1036651.0
Pingree,Stutsman,49.0,34.959,0.707,47.200177,-98.900819,3809362660.0,1036502.0
Pipestem Valley,Stutsman,35.0,35.609,0.233,47.200594,-99.032869,3809362740.0,1036503.0
Plain,Renville,30.0,35.778,0.352,48.509998,-101.636454,3807562900.0,1759615.0
Plainview,Stutsman,40.0,35.912,0.045,47.10259,-98.900913,3809362940.0,1036488.0
Plaza,Mountrail,38.0,36.174,0.0,47.978371,-101.935687,3806163020.0,1036941.0
Pleasant,Cass,468.0,36.618,0.067,46.666649,-96.85876,3801763100.0,1036351.0
Pleasant Hill,Kidder,56.0,35.446,0.514,46.857568,-100.014189,3804363140.0,1037071.0
Pleasant Lake,Benson,74.0,34.053,2.527,48.33294,-99.7754,3800563200.0,1759255.0
Pleasant Prairie,Eddy,32.0,34.564,0.248,47.62365,-98.936777,3802763220.0,1759411.0
Pleasant Valley,Williams,121.0,36.342,0.0,48.328365,-102.892724,3810563260.0,1037108.0
Pleasant View,Grand Forks,138.0,36.053,0.001,47.807814,-97.444658,3803563300.0,1036596.0
Plumer,Divide,11.0,34.882,1.168,48.756942,-103.388664,3802363340.0,1759395.0
Plymouth,Grand Forks,68.0,36.048,0.062,48.061269,-97.841404,3803563380.0,1036621.0
Pomona View,LaMoure,22.0,35.844,0.122,46.333628,-98.840326,3804563500.0,1036892.0
Pontiac,Cass,100.0,35.12,0.796,46.666003,-97.608769,3801763580.0,1036357.0
Pony Gulch,Wells,45.0,35.107,0.018,47.624935,-99.965853,3810363620.0,1037151.0
Poplar Grove,Ramsey,218.0,16.22,18.824,48.079414,-99.021504,3807163680.0,1759591.0
Port Emma,Dickey,35.0,26.493,0.486,45.986888,-98.204943,3802163820.0,1036743.0
Portal,Burke,24.0,42.578,0.194,48.944977,-102.601028,3801363780.0,2397856.0
Porter,Dickey,50.0,35.272,0.268,46.234041,-98.450557,3802163860.0,1036773.0
Potsdam,Dickey,38.0,34.467,0.042,46.23709,-98.701003,3802163980.0,1036778.0
Potter,Barnes,34.0,32.77,2.787,46.937841,-98.259076,3800364020.0,1036421.0
Powers,Mountrail,35.0,34.406,1.613,48.505884,-102.55076,3806164100.0,1037092.0
Powers Lake,Mountrail,54.0,35.563,0.309,48.496086,-102.689781,3806164180.0,1037198.0
Prairie,LaMoure,43.0,36.121,0.013,46.594439,-98.212048,3804564220.0,1036911.0
Prairie Centre,Walsh,107.0,36.186,0.0,48.325434,-97.57875,3809964270.0,1036527.0
Pratt,McHenry,50.0,35.977,0.022,48.58181,-100.98382,3804964420.0,1759509.0
Prescott,Renville,28.0,35.949,0.073,48.494881,-101.1142,3807564460.0,1759616.0
Preston,Ransom,79.0,35.666,0.039,46.580076,-97.836306,3807364500.0,1036883.0
Pretty Rock,Grant,13.0,35.816,0.007,46.157439,-101.809643,3803764580.0,1759440.0
Primrose,Steele,73.0,35.921,0.0,47.455028,-97.537521,3809164660.0,1036665.0
Progress,Wells,20.0,34.864,0.992,47.363449,-99.703883,3810364700.0,1037129.0
Prophets,Sheridan,23.0,35.485,0.554,47.544841,-100.61984,3808364715.0,1848620.0
Prospect,Ramsey,26.0,35.763,0.227,48.492687,-98.504396,3807164740.0,1759592.0
Prosperity,Renville,26.0,43.394,0.034,48.944315,-101.813831,3807564820.0,1759617.0
Pulaski,Walsh,88.0,34.139,0.338,48.3169,-97.200171,3809964860.0,1036524.0
Purcell,Mountrail,58.0,35.498,0.413,48.247338,-102.353035,3806164900.0,1037047.0
