Rank,Nation,Gold,Silver,Bronze,Total
1.0,United States,0.0,16.0,14.0,30.0
2.0,Russia,17.0,7.0,4.0,28.0
3.0,Canada,3.0,3.0,7.0,13.0
4.0,Japan,6.0,1.0,1.0,8.0
5.0,China,4.0,1.0,1.0,6.0
6.0,Italy,2.0,2.0,0.0,4.0
6.0,Hungary,2.0,1.0,1.0,4.0
7.0,Ukraine,0.0,3.0,0.0,3.0
8.0,Germany,1.0,1.0,0.0,2.0
8.0,Czech Republic,0.0,1.0,1.0,2.0
8.0,Israel,0.0,0.0,2.0,2.0
8.0,Switzerland,0.0,0.0,2.0,2.0
9.0,Sweden,1.0,0.0,0.0,1.0
9.0,France,0.0,0.0,1.0,1.0
9.0,United Kingdom,0.0,0.0,1.0,1.0
9.0,North Korea,0.0,0.0,1.0,1.0
