Year,Song,Album,Language,Composer
2004.0,"""Oh Mahirae""",Manmadhan,Tamil,Yuvan Shankar Raja
2005.0,"""Theepidika Theepidika""",Arinthum Ariyamalum,Tamil,Yuvan Shankar Raja
2005.0,"""Kudakkooli Koduthachu""",Kalvanin Kadhali,Tamil,Yuvan Shankar Raja
2005.0,"""Mila Mila""",Super,Telugu,Sandeep Chowta
2005.0,"""Hey babu""",Devadasu,Telugu,Chakri
2006.0,"""Golmaal""",Golmaal,Hindi,Vishal-Shekhar
2006.0,"""Money Money""",Thimiru,Tamil,Yuvan Shankar Raja
2006.0,"""Zindaggi Rocks""",Zindaggi Rocks,Hindi,Anu Malik
2007.0,"""Oh..Oh..Ennanamo""",Chennai 600028,Tamil,Yuvan Shankar Raja
2007.0,"""Naughty Naughty""",Cash,Hindi,Vishal-Shekhar
2007.0,"""Rathraina""",Athidi,Telugu,Manisharma
2007.0,"""Cheli cheruku""",Aadavari Matalaku Ardhalu Verule,Telugu,Yuvan Shankar Raja
2007.0,"""Chammakuro Challa""",Munna,Telugu,Harris Jayaraj
2008.0,"""Tu Saala""",Golmaal Returns,Hindi,Pritam
2009.0,"""Chandni Chowk to China""",Chandni Chowk to China,Hindi,Shankar–Ehsaan–Loy
2009.0,"""Oh Sexy Mama""",Yavarum Nalam/13B,Tamil Hindi,Shankar–Ehsaan–Loy
2009.0,"""Dil Kalase""",Kick,Telugu,S.Thaman
2010.0,"""Alisha""",Pyaar Impossible!,Hindi,Salim-Suleiman
2010.0,"""By The Way"" & ""Behke Behke""",Aisha,Hindi,Amit Trivedi
2010.0,"""Dil Khol Ke Let's Rock""",We Are Family,Hindi,Shankar–Ehsaan–Loy
2010.0,"""Apna Har Din"" & ""Golmaal""",Golmaal 3,Hindi,Pritam
2010.0,"""Dhatad Tatad""",Lafangey Parindey,Hindi,R. Anandh
2011.0,"""Mit Jaaye Gum (Dum Maaro Dum)""",Dum Maaro Dum,Hindi,Pritam
2011.0,"""Piya Kesariyo""",Hum Tum Shabana,Hindi,Sachin-Jigar
2012.0,"""Ek Main Aur Ekk Tu""",Ek Main Aur Ekk Tu,Hindi,Amit Trivedi
2013.0,"""Allah Duhai Hai""",Race 2,Hindi,Pritam
2013.0,"""Dil Na Jaane Kyun""",Jayantabhai Ki Luv Story,Hindi,Sachin-Jigar
2013.0,"""Mann Basiyo Sanwariyo""",ABCD – Any Body Can Dance,Hindi,Sachin-Jigar
