Driver,Constructor,Laps,Time/Retired,Grid
Michael Schumacher,Ferrari,72.0,1:48:36.1,2.0
Mika Häkkinen,McLaren - Mercedes,72.0,+22.898,3.0
Eddie Irvine,Ferrari,72.0,+57.745,4.0
Alexander Wurz,Benetton - Playlife,72.0,+1:08.134,8.0
Jean Alesi,Sauber - Petronas,72.0,+1:18.286,11.0
David Coulthard,McLaren - Mercedes,72.0,+1:19.751,1.0
Giancarlo Fisichella,Benetton - Playlife,72.0,+1:28.437,10.0
Damon Hill,Jordan - Mugen-Honda,71.0,+1 Lap,9.0
Heinz-Harald Frentzen,Williams - Mecachrome,71.0,+1 Lap,6.0
Rubens Barrichello,Stewart - Ford,70.0,+2 Laps,14.0
Jarno Trulli,Prost - Peugeot,70.0,+2 Laps,16.0
Toranosuke Takagi,Tyrrell - Ford,70.0,+2 Laps,13.0
Shinji Nakano,Minardi - Ford,69.0,+3 Laps,19.0
Ricardo Rosset,Tyrrell - Ford,68.0,+4 Laps,21.0
Olivier Panis,Prost - Peugeot,65.0,Engine,15.0
Esteban Tuero,Minardi - Ford,63.0,Spun off,20.0
Jacques Villeneuve,Williams - Mecachrome,52.0,Collision,7.0
Johnny Herbert,Sauber - Petronas,46.0,Collision,12.0
Ralf Schumacher,Jordan - Mugen-Honda,22.0,Suspension,5.0
Mika Salo,Arrows,18.0,Gearbox,17.0
Jan Magnussen,Stewart - Ford,17.0,Transmission,22.0
Pedro Diniz,Arrows,13.0,Gearbox,18.0
