Club,Games,Wins,Losses,Draws
AS Kasserine,4.0,2.0,1.0,1.0
Avenir Sportif de La Marsa,26.0,5.0,9.0,12.0
Association Mégrine Sportive,2.0,1.0,0.0,1.0
Club Africain,26.0,3.0,18.0,5.0
Club Athlétique Bizertin,26.0,9.0,16.0,1.0
Club Olympique des Transports,12.0,1.0,6.0,5.0
Club Sportif de Hammam-Lif,22.0,5.0,11.0,6.0
CS Korba,2.0,2.0,0.0,0.0
Club Sportif de Menzel Bouzelfa,2.0,1.0,1.0,0.0
Club Sportif Sfaxien,26.0,3.0,13.0,10.0
Espérance Sportive de Tunis,26.0,5.0,14.0,7.0
Espérance Sportive de Zarzis,6.0,2.0,1.0,3.0
ES Beni-Khalled,2.0,1.0,0.0,1.0
Étoile Sportive du Sahel,26.0,4.0,13.0,9.0
Jeunesse Sportive Kairouanaise,26.0,6.0,11.0,9.0
El Makarem de Mahdia,2.0,0.0,1.0,1.0
Olympique Béja,16.0,4.0,9.0,3.0
Olympique du Kef,10.0,4.0,4.0,2.0
Sfax Railways Sports,20.0,2.0,4.0,14.0
Stade Gabèsien,6.0,2.0,2.0,2.0
Stade Sportif Sfaxien,2.0,1.0,0.0,1.0
Stade Tunisien,26.0,7.0,9.0,10.0
Stade Soussien,2.0,1.0,1.0,0.0
STIA Sousse,2.0,1.0,1.0,0.0
Union Sportive Monastir,18.0,6.0,7.0,5.0
