City,Chinese,Pinyin,County,Population (2010)
New Taipei,新北,Xīnběi,Special municipality,3903745.0
Kaohsiung,高雄,Gāoxióng,Special municipality,2772461.0
Taichung,臺中,Táizhōng,Special municipality,2655456.0
Taipei,臺北,Táiběi,Special municipality,2635766.0
Tainan,臺南,Táinán,Special municipality,1874724.0
Hsinchu,新竹,Xīnzhú,Provincial city,417335.0
Taoyuan,桃園,Táoyuán,Taoyuan,408304.0
Keelung,基隆,Jīlóng,Provincial city,381770.0
Zhongli,中壢,Zhōnglì,Taoyuan,370779.0
Chiayi,嘉義,Jiāyì,Provincial city,272128.0
Changhua,彰化,Zhānghuà,Changhua,236447.0
Pingtung,屏東,Píngdōng,Pingtung,210275.0
Pingzhen,平鎮,Píngzhèn,Taoyuan,207953.0
Bade,八德,Bādé,Taoyuan,177020.0
Yangmei,楊梅,Yángméi,Taoyuan,151384.0
