Pick,Player,Team,Position,Hometown/School
1.0,Tim Foli,New York Mets,SS,"Canoga Park, CA"
2.0,* Pete Broberg,Oakland Athletics,RHP,"Palm Beach, FL"
3.0,Marty Cott,Houston Astros,C,"Buffalo, NY"
4.0,Thurman Munson,New York Yankees,C,Kent State University
5.0,Bobby Valentine,Los Angeles Dodgers,OF,"Stamford, CT"
6.0,Robert Weaver,Cleveland Indians,SS,"Jacksonville, FL"
7.0,Curtis Moore,Atlanta Braves,OF,"Denison, TX"
8.0,Don Castle,Washington Senators,LHP,"Coldwater, MS"
9.0,Dick Sharon,Pittsburgh Pirates,OF,"Redwood City, CA"
10.0,Junior Kennedy,Baltimore Orioles,SS,"Arvin, CA"
11.0,Greg Luzinski,Philadelphia Phillies,1B,"Prospect Heights, IL"
12.0,Lloyd Allen,California Angels,RHP,"Selma, CA"
13.0,Tim Grant,Cincinnati Reds,RHP,"Boykins, VA"
14.0,Rich McKinney,Chicago White Sox,SS,Ohio University
15.0,Ralph Rickey,Chicago Cubs,OF,University of Oklahoma
16.0,Alex Rowell,Minnesota Twins,OF,Luther College
17.0,Gary Matthews,San Francisco Giants,OF,"Pacoima, CA"
18.0,Robert Robinson,Detroit Tigers,OF,"Chester, VA"
19.0,James Hairston,St. Louis Cardinals,OF,"Dayton, OH"
20.0,Tom Maggard,Boston Red Sox,OF-C,"Norwalk, CA"
