Driver,Constructor,Laps,Time/Retired,Grid
Emerson Fittipaldi,Lotus - Ford,54.0,1:29:16.66,1.0
Denny Hulme,McLaren - Ford,54.0,+ 1.18,7.0
Peter Revson,McLaren - Ford,54.0,+ 36.53,4.0
Mike Hailwood,Surtees - Ford,54.0,+ 44.76,12.0
Chris Amon,Matra,54.0,+ 45.64,6.0
Howden Ganley,BRM,54.0,+ 1:01.19,10.0
Jackie Stewart,Tyrrell - Ford,54.0,+ 1:09.09,3.0
Jean-Pierre Beltoise,BRM,54.0,+ 1:21.45,21.0
François Cevert,Tyrrell - Ford,53.0,+ 1 Lap,20.0
Niki Lauda,March - Ford,53.0,+1 Lap,22.0
Tim Schenken,Surtees - Ford,52.0,+2 Laps,8.0
Ronnie Peterson,March - Ford,52.0,+2 Laps,11.0
Peter Gethin,BRM,51.0,+3 Laps,16.0
Andrea de Adamich,Surtees - Ford,51.0,+3 Laps,13.0
Rolf Stommelen,March - Ford,48.0,Engine,17.0
Carlos Pace,March - Ford,46.0,Not Classified,18.0
Nanni Galli,Tecno,45.0,Oil Leak,23.0
Graham Hill,Brabham - Ford,36.0,Injection,14.0
Wilson Fittipaldi,Brabham - Ford,31.0,Brakes,15.0
Mike Beuttler,March - Ford,24.0,Fuel System,24.0
François Migault,Connew - Ford,22.0,Suspension,25.0
Jacky Ickx,Ferrari,20.0,Fuel System,9.0
Carlos Reutemann,Brabham - Ford,14.0,Injection,5.0
Clay Regazzoni,Ferrari,13.0,Fuel System,2.0
Dave Walker,Lotus - Ford,6.0,Engine,19.0
