Dates,Tournament,Country,Prize fund ( US$ ),Winner,OWGR pts
Feb 7-10,Emaar-MGF Indian Masters,India,2500000.0,Shiv Chowrasia (1),26.0
Feb 14-17,Enjoy Jakarta Astro Indonesia Open,Indonesia,1200000.0,Felipe Aguilar (n/a),20.0
Feb 20-23,SAIL Open Golf Championship at Jaypee Greens,India,400000.0,Mark Brown (1),14.0
Feb 28- Mar 4,Johnnie Walker Classic,India,2500000.0,Mark Brown (2),38.0
Mar 6-9,Maybank Malaysian Open,Malaysia,2000000.0,Arjun Atwal (7),24.0
Mar 13-16,Ballantine's Championship,South Korea,2900000.0,Graeme McDowell (n/a),28.0
Mar 20-23,Asian Tour International,Thailand,300000.0,Lin Wen-tang (3),14.0
Apr 3-6,Philippine Open,The Philippines,300000.0,Angelo Que (2),14.0
Apr 17-20,Volvo China Open,China,2000000.0,Damien McGrane (n/a),20.0
Apr 24-27,BMW Asian Open,China,2300000.0,Darren Clarke (n/a),32.0
May 1-4,GS Caltex Maekyung Open,South Korea,600000.0,Hwang Inn-choon (1),14.0
May 8-11,Pine Valley Beijing Open,China,1000000.0,Hiroyuki Fujita (n/a),16.0
June 5-8,Bangkok Airways Open,Thailand,300000.0,Thaworn Wiratchant (10),14.0
June 26-29,Singha Thailand PGA Championship,Thailand,500000.0,Mo Joong-kyung (2),14.0
Aug 6-9,Worldwide Selangor Masters,Malaysia,310000.0,Ben Leong (1),14.0
Aug 21-24,Brunei Open,Brunei,300000.0,Rick Kulacz (1),14.0
Aug 28-31,Pertamina Indonesia President Invitational,Indonesia,350000.0,Scott Hend (1),14.0
Sep 18-21,Mercuries Taiwan Masters,Taiwan,500000.0,Lu Wen-teh (5),14.0
Sep 25-28,Asia-Pacific Panasonic Open,Japan,1850000.0,Hideto Tanihara (n/a),20.0
Oct 2-5,Kolon-Hana Bank Korea Open,South Korea,1000000.0,Bae Sang-moon (2),18.0
Oct 9-12,Hero Honda Indian Open,India,1000000.0,Liang Wen-chong (2),14.0
Oct 16-19,Midea China Classic,China,500000.0,Noh Seung-yul (1),14.0
Oct 23-26,Macau Open,Macau,500000.0,David Gleeson (2),14.0
Oct 30-Nov 2,Iskandar Johor Open,Malaysia,500000.0,Retief Goosen (n/a),14.0
Nov 6-9,HSBC Champions,China,5000000.0,Sergio García (n/a),52.0
Nov 13-16,Barclays Singapore Open,Singapore,5000000.0,Jeev Milkha Singh (6),38.0
Nov 20-23,UBS Hong Kong Open,"Hong Kong , China",2250000.0,Lin Wen-tang (4),32.0
Dec 4-7,Hana Bank Vietnam Masters,Vietnam,500000.0,Thongchai Jaidee (9),14.0
Dec 11-14,Johnnie Walker Cambodian Open,Cambodia,300000.0,Thongchai Jaidee (10),14.0
Dec 18-21,Volvo Masters of Asia,Thailand,750000.0,Lam Chih Bing (1),20.0
