County,McCain %,McCain Votes,Obama %,Obama Votes,Others %,Others Votes
Barnstable,42.1%,55694.0,56.1%,74264.0,1.8%,2395.0
Berkshire,22.5%,14876.0,74.9%,49558.0,2.6%,1696.0
Bristol,37.2%,90531.0,60.4%,146861.0,2.4%,5728.0
Dukes,23.1%,2442.0,75.0%,7913.0,1.9%,198.0
Essex,38.8%,137129.0,59.1%,208976.0,2.1%,7357.0
Franklin,24.8%,9545.0,72.5%,27919.0,2.8%,1065.0
Hampden,36.1%,71350.0,61.4%,121454.0,2.5%,4916.0
Hampshire,25.9%,20618.0,71.5%,56869.0,2.6%,2083.0
Middlesex,33.9%,245766.0,64.0%,464484.0,2.2%,15781.0
Nantucket,30.8%,1863.0,67.3%,4073.0,1.9%,116.0
Norfolk,39.7%,136841.0,58.2%,200675.0,2.1%,7400.0
Plymouth,45.2%,112904.0,52.8%,131817.0,2.0%,5096.0
Suffolk,21.2%,57194.0,76.9%,207128.0,1.8%,4900.0
