Round,Overall,Player,Position,School/Club Team
1.0,3.0,Mike Phipps,Quarterback,Purdue
1.0,21.0,Bob McKay,Tackle,Texas
2.0,36.0,Turkey Jones,Defensive End,Tennessee State
2.0,47.0,Jerry Sherk,Defensive Tackle,Oklahoma State
4.0,99.0,Ricky Stevenson,Defensive Back,Arizona
5.0,125.0,Steve Engel,Running Back,Colorado
6.0,151.0,Mike Cilek,Quarterback,Iowa
7.0,177.0,Craig Wycinski,Guard,Michigan State
8.0,203.0,Honester Davidson,Defensive Back,Bowling Green
9.0,229.0,Geoff Brown,Linebacker,Pittsburgh
10.0,255.0,William Yanchar,Defensive Tackle,Purdue
11.0,281.0,Gene Benner,Wide Receiver,Maine
12.0,307.0,Jerry Sanders,Kicker,Texas Tech
13.0,333.0,Larry Roberts,Running Back,Central Missouri
14.0,359.0,Jim Tharpe,Linebacker,Lincoln (Mo.)
15.0,385.0,Guy Homoly,Defensive Back,Illinois State
16.0,410.0,John Redebaugh,Tight End,Bemidji State
17.0,436.0,Charles Tabb,Running Back,McMurry
