Game,December,Opponent,Score,Record
25.0,1.0,@ St. Louis Blues,2 - 0,10-13-2
26.0,3.0,Montreal Canadiens,3 - 3,10-13-3
27.0,5.0,Chicago Black Hawks,3 - 3,10-13-4
28.0,7.0,@ Hartford Whalers,7 - 4,11-13-4
29.0,9.0,New York Islanders,5 - 4,12-13-4
30.0,11.0,@ Detroit Red Wings,2 - 1,13-13-4
31.0,12.0,@ Chicago Black Hawks,5 - 2,14-13-4
32.0,15.0,@ Washington Capitals,5 - 4,14-14-4
33.0,16.0,Philadelphia Flyers,1 - 1,14-14-5
34.0,19.0,Vancouver Canucks,5 - 3,15-14-5
35.0,22.0,@ Pittsburgh Penguins,4 - 3,16-14-5
36.0,23.0,Boston Bruins,4 - 3,16-15-5
37.0,30.0,Washington Capitals,5 - 2,17-15-5
