Week,Date,Opponent,Result,Attendance
1.0,"September 12, 1976",Los Angeles Rams,L 30-14,53607.0
2.0,"September 19, 1976",at Detroit Lions,L 24-10,50840.0
3.0,"September 26, 1976",at Chicago Bears,W 10-0,41029.0
4.0,"October 3, 1976",Philadelphia Eagles,L 14-13,45535.0
5.0,"October 10, 1976",at New Orleans Saints,L 30-0,51521.0
6.0,"October 17, 1976",Cleveland Browns,L 20-17,33364.0
7.0,"October 23, 1976",at San Francisco 49ers,L 15-0,50240.0
8.0,"October 31, 1976",New Orleans Saints,W 23-20,34127.0
9.0,"November 7, 1976",at Seattle Seahawks,L 30-13,57985.0
10.0,"November 14, 1976",San Francisco 49ers,W 21-16,20058.0
11.0,"November 21, 1976",Dallas Cowboys,W 17-10,54992.0
12.0,"November 28, 1976",at Houston Oilers,L 20-14,25838.0
13.0,"December 4, 1976",at Los Angeles Rams,L 59-0,57366.0
14.0,"December 12, 1976",Green Bay Packers,L 24-20,23436.0
