Rank,Nation,Gold,Silver,Bronze,Total
1,Turkey,3.0,3.0,3.0,9.0
2,Germany,3.0,1.0,3.0,7.0
3,Spain,2.0,1.0,2.0,5.0
4,Greece,2.0,0.0,1.0,3.0
5,France,1.0,2.0,3.0,6.0
6,Russia,1.0,1.0,1.0,3.0
7,Sweden,1.0,1.0,1.0,3.0
8,Azerbaijan,1.0,1.0,0.0,2.0
8,Croatia,1.0,1.0,0.0,2.0
10,Armenia,1.0,0.0,0.0,1.0
11,United Kingdom,0.0,2.0,2.0,4.0
12,Italy,0.0,1.0,5.0,6.0
13,Ukraine,0.0,1.0,1.0,2.0
14,Austria,0.0,1.0,0.0,1.0
15,Netherlands,0.0,0.0,2.0,2.0
16,Denmark,0.0,0.0,1.0,1.0
16,Poland,0.0,0.0,1.0,1.0
16,Serbia,0.0,0.0,1.0,1.0
16,Bulgaria,0.0,0.0,1.0,1.0
16,Israel,0.0,0.0,1.0,1.0
16,Belarus,0.0,0.0,1.0,1.0
16,Czech Republic,0.0,0.0,1.0,1.0
16,Norway,0.0,0.0,1.0,1.0
Total,Total,16.0,16.0,32.0,64.0
