Pick #,MLS team,Player,Position,Affiliation
1.0,Vancouver Whitecaps FC,* Omar Salgado,Forward,United States U-20
2.0,Portland Timbers,* Darlington Nagbe,Forward,University of Akron Cleveland Internationals
3.0,D.C. United,* Perry Kitchen,Midfielder,University of Akron Chicago Fire Premier
4.0,Chivas USA,* Zarek Valentin,Defender,University of Akron Reading United Michigan Bucks
5.0,Philadelphia Union,* Zac MacMath,Goalkeeper,University of Maryland
7.0,Houston Dynamo,* Kofi Sarkodie,Defender,University of Akron Michigan Bucks
8.0,Vancouver Whitecaps FC,* Michael Nanchoff,Midfielder,University of Akron Cleveland Internationals
9.0,Chicago Fire,Jalil Anibaba,Defender,University of North Carolina Carolina Dynamo
10.0,Sporting Kansas City,C. J. Sapong,Forward,James Madison University Reading United
11.0,Houston Dynamo,* Will Bruin,Forward,Indiana University
12.0,Columbus Crew,Rich Balchan,Defender,Indiana University Chicago Fire Premier
13.0,New York Red Bulls,* Corey Hertzog,Forward,Pennsylvania State University Reading United
14.0,Chivas USA,Víctor Estupiñán,Forward,LDU Quito
15.0,Columbus Crew,Justin Meram,Forward,University of Michigan
16.0,Los Angeles Galaxy,Paolo Cardozo,Midfielder,Quilmes
17.0,FC Dallas,Bobby Warshaw,Defender,Stanford University
