Driver,Constructor,Laps,Time/Retired,Grid
Damon Hill,Williams - Renault,77.0,1:47:39.098,2.0
Riccardo Patrese,Benetton - Ford,77.0,+1:11.915,5.0
Gerhard Berger,Ferrari,77.0,+1:18.042,6.0
Derek Warwick,Footwork - Mugen-Honda,76.0,+1 Lap,9.0
Martin Brundle,Ligier - Renault,76.0,+1 Lap,13.0
Karl Wendlinger,Sauber,76.0,+1 Lap,17.0
Mark Blundell,Ligier - Renault,76.0,+1 Lap,12.0
Philippe Alliot,Larrousse - Lamborghini,75.0,+2 Laps,19.0
Thierry Boutsen,Jordan - Hart,75.0,+2 Laps,24.0
Ukyo Katayama,Tyrrell - Yamaha,73.0,+4 Laps,23.0
Andrea de Cesaris,Tyrrell - Yamaha,72.0,+5 Laps,22.0
Alain Prost,Williams - Renault,70.0,+7 Laps,1.0
Pierluigi Martini,Minardi - Ford,59.0,Accident,7.0
Érik Comas,Larrousse - Lamborghini,54.0,Engine,18.0
Alessandro Zanardi,Lotus - Ford,45.0,Gearbox,21.0
Aguri Suzuki,Footwork - Mugen-Honda,41.0,Spun off,10.0
Michele Alboreto,Lola - Ferrari,39.0,Overheating,25.0
Johnny Herbert,Lotus - Ford,38.0,Spun off,20.0
Luca Badoer,Lola - Ferrari,37.0,Spun off,26.0
Michael Schumacher,Benetton - Ford,26.0,Fuel pump,3.0
Christian Fittipaldi,Minardi - Ford,22.0,Suspension,14.0
Jean Alesi,Ferrari,22.0,Spun off,8.0
JJ Lehto,Sauber,18.0,Engine,15.0
Ayrton Senna,McLaren - Ford,17.0,Throttle,4.0
Michael Andretti,McLaren - Ford,15.0,Throttle,11.0
Rubens Barrichello,Jordan - Hart,0.0,Accident,16.0
