Pick #,Player,Position,Nationality,NHL team,College/junior/club team
81.0,Derek Black,Left Wing,Canada,New York Islanders,Calgary Centennials (WCHA)
82.0,Frank Blum,Goaltender,Canada,Atlanta Flames,Sarnia Legionnaires (WOJHL)
83.0,Dave McLelland,Goaltender,Canada,Vancouver Canucks,Brandon Wheat Kings (WCHA)
84.0,Mike Usitalo,Left Wing,United States,Los Angeles Kings,Michigan Technological University (WCHA)
85.0,Peter McNab,Centre,Canada / United States,Buffalo Sabres,University of Denver (WCHA)
86.0,Jacques Lefebvre,Goaltender,Canada,California Golden Seals,Shawnigan Dynamos (QMJHL)
87.0,David Hastings,Goaltender,Canada,Philadelphia Flyers,Charlottetown Royals (MaJHL)
88.0,Jeff Ablett,Left Wing,Canada,Pittsburgh Penguins,Medicine Hat Tigers (WCHL)
89.0,Tom Simpson,Right Wing,Canada,St. Louis Blues,Oshawa Generals (OMJHL)
90.0,Bill Miller,Defence,Canada,Detroit Red Wings,Medicine Hat Tigers (WCHL)
91.0,Dave Shardlow,Left Wing,Canada,Toronto Maple Leafs,Flin Flon Bombers (WCHL)
92.0,Steve West,Centre,Canada,Minnesota North Stars,Oshawa Generals (OMJHL)
93.0,Rob Palmer,Centre,United States,Chicago Black Hawks,University of Denver (WCHA)
94.0,D'Arcy Ryan,Centre,Canada,Montreal Canadiens,Yale University (ECAC)
95.0,Ken Ireland,Centre,Canada,New York Rangers,New Westminster Bruins (WCHL)
96.0,Peter Gaw,Right Wing,Canada,Boston Bruins,Ottawa 67's (OMJHL)
