Date,Opponent,Score,Loss,Attendance,Record
May 1,Royals,6 - 5,Betancourt (1-1),17672.0,9-15
May 3,@ Twins,4 - 2,Mays (1-1),16919.0,10-15
May 4,@ Twins,5 - 4,Romero (0-2),19856.0,11-15
May 5,@ Twins,9 - 0,Sabathia (2-1),18265.0,11-16
May 6,@ Rangers,8 - 6,Astacio (1-4),30742.0,12-16
May 7,@ Rangers,6 - 1,Elarton (0-2),36311.0,12-17
May 8,@ Rangers,7 - 2,Westbrook (1-6),23203.0,12-18
May 9,@ Angels,3 - 0,Lackey (3-2),36763.0,13-18
May 10,@ Angels,5 - 4,Sabathia (2-2),38320.0,13-19
May 11,@ Angels,9 - 3,Escobar (1-2),35508.0,14-19
May 13,Blue Jays,6 - 4,Lilly (1-4),19637.0,15-19
May 14,Blue Jays,3 - 2,Frasor (1-3),22525.0,16-19
May 15,Blue Jays,5 - 2,Sabathia (2-3),23446.0,16-20
May 16,Angels,3 - 1,Lee (4-2),13729.0,16-21
May 17,Angels,13 - 5,Santana (0-1),15033.0,17-21
May 18,Angels,2 - 1,Westbrook (1-7),19030.0,17-22
May 20,@ Reds,2 - 1,Millwood (1-4),25412.0,17-23
May 21,@ Reds,5 -3,Ramírez (0-2),31083.0,18-23
May 22,@ Reds,9 - 2,Ortiz (1-3),21862.0,19-23
May 23,Twins,2 - 1,Lohse (3-3),13257.0,20-23
May 24,Twins,6 - 3 (11),Riske (1-1),15884.0,20-24
May 25,Twins,3 - 2 (10),Rincón (2-2),15794.0,21-24
May 26,Twins,5 - 4 (11),Riske (1-2),19161.0,21-25
May 27,Athletics,4 - 1,Zito (1-6),19711.0,22-25
May 28,Athletics,6 - 3,Saarloos (1-4),33646.0,23-25
May 29,Athletics,6 - 2,Etherton (1-1),25737.0,24-25
May 31,@ Twins,4 - 3,Silva (3-3),15494.0,25-25
