Driver,Constructor,Laps,Time/Retired,Grid
Jim Clark,Lotus - Climax,80.0,2:03:59.1,2.0
Jackie Stewart,BRM,80.0,+8.0 secs,6.0
Dan Gurney,Brabham - Climax,80.0,+13.0 secs,5.0
Graham Hill,BRM,80.0,+45.1 secs,1.0
Denny Hulme,Brabham - Climax,79.0,+1 Lap,7.0
Richie Ginther,Honda,79.0,+1 Lap,3.0
John Surtees,Ferrari,79.0,+1 Lap,4.0
Mike Spence,Lotus - Climax,79.0,+1 Lap,8.0
Lorenzo Bandini,Ferrari,79.0,+1 Lap,12.0
Innes Ireland,Lotus - BRM,78.0,+2 Laps,13.0
Frank Gardner,Brabham - BRM,77.0,+3 Laps,11.0
Richard Attwood,Lotus - BRM,77.0,+3 Laps,17.0
Jo Siffert,Brabham - BRM,55.0,+25 Laps,10.0
Jochen Rindt,Cooper - Climax,48.0,Oil Pressure,14.0
Bruce McLaren,Cooper - Climax,36.0,Differential,9.0
Jo Bonnier,Brabham - Climax,16.0,Oil Leak,15.0
Bob Anderson,Brabham - Climax,11.0,Engine,16.0
