Year,Entrant,Chassis,Engine,Points
1950.0,Pioneer Auto Repair,Wetteroth,Offenhauser L4,0.0
1952.0,Grancor-Wynn's Oil,Kurtis Kraft 3000,Offenhauser L4,6.0
1953.0,Travelon Trailer,Kurtis Kraft 500B,Offenhauser L4,0.0
1954.0,Bardahl,Kurtis Kraft 500C,Offenhauser L4,0.0
1955.0,Belond Miracle Power,Epperly,Offenhauser L4,0.0
1956.0,Hopkins,Kurtis Kraft 500C,Offenhauser L4,0.0
1957.0,Chiropractic,Epperly Indy Roadster,Offenhauser L4,7.0
1958.0,Leader Card 500 Roadster,Epperly Indy Roadster,Offenhauser L4,2.0
1959.0,Simoniz,Watson Indy Roadster,Offenhauser L4,6.0
1960.0,Ken-Paul,Watson Indy Roadster,Offenhauser L4,8.0
