Round,Overall,Player,Position,School/Club Team
1.0,18.0,Bob Matheson,Linebacker,Duke
2.0,46.0,Larry Conjar,Running Back,Notre Dame
3.0,55.0,Don Cockroft,Kicker,Adams State
3.0,72.0,Eppie Barney,Flanker,Iowa State
4.0,83.0,Carl Ward,Defensive Back,Michigan
4.0,98.0,Joe Taffoni,Tackle,Tennessee-Martin
6.0,152.0,John Demarie,Guard,LSU
7.0,177.0,Bill House,Tackle,Youngstown State
8.0,205.0,Bill Devrow,Defensive Back,Southern Mississippi
9.0,230.0,Cecil Dowdy,Linebacker,Alabama
10.0,255.0,Jim Copeland,Center,Virginia
11.0,282.0,Bill Sabatino,Defensive Tackle,Colorado
12.0,308.0,Charlie Fowler,Guard,Houston
13.0,333.0,Billy Andrews,Linebacker,Southeastern Louisiana
14.0,360.0,Floyd Rogers,Tackle,Clemson
15.0,386.0,Dennis Williamson,Defensive Back,Wisconsin-Whitewater
16.0,411.0,Don Williams,End,Akron
17.0,439.0,Ben Davis,Defensive Back,Defiance
