Draw,Artist,Song,Jury,Televote,Total,Place
1.0,Eleni Skarpari,"""Moments of Madness""",16.0,18.0,34.0,7.0
2.0,Myria Pampori & Alexis Manison,"""Turning to You""",8.0,48.0,56.0,4.0
3.0,Mirto Meletiou,"""Rescue Me""",20.0,12.0,32.0,9.0
4.0,Sofia Strati,"""This Can't Be Love""",12.0,42.0,54.0,5.0
5.0,Evdokia Kadi,""" Femme Fatale """,32.0,72.0,104.0,1.0
6.0,Nikolas Metaxas,"""I Can't Be""",40.0,60.0,100.0,2.0
7.0,Marlain Angelidou,"""Rejection""",48.0,36.0,84.0,3.0
8.0,Nikolas Metaxas,"""Butterfly""",24.0,30.0,54.0,6.0
9.0,Elizabeth Anastasiou,"""Sugar Mountain""",4.0,24.0,28.0,10.0
10.0,Constantinos Andronikou,"""Calling You""",28.0,6.0,34.0,8.0
