No. in series,No. in season,Title,Directed by,Written by,Original air date,U.S. viewers (millions)
119.0,2.0,"""Room Service""",Kenneth Fink,Dustin Lee Abraham & Henry Alonso Myers,"September29,2005",28.00
121.0,4.0,"""Shooting Stars""",Danny Cannon,Danny Cannon,"October13,2005",28.34
122.0,5.0,"""Gum Drops""",Richard J. Lewis,Sarah Goldfinger,"October20,2005",28.48
123.0,6.0,"""Secrets and Flies""",Terrence O'Hara,Josh Berman,"November3,2005",28.73
124.0,7.0,"""A Bullet Runs Through It (Part 1)""",Danny Cannon,Richard Catalani & Carol Mendelsohn,"November10,2005",29.55
125.0,8.0,"""A Bullet Runs Through It (Part 2)""",Kenneth Fink,Richard Catalani & Carol Mendelsohn,"November17,2005",28.98
126.0,9.0,"""Dog Eat Dog""",Duane Clark,Allen MacDonald & Dustin Lee Abraham,"November24,2005",25.72
127.0,10.0,"""Still Life""",Richard J. Lewis,David Rambo,"December8,2005",30.95
128.0,11.0,"""Werewolves""",Kenneth Fink,Josh Berman,"January5,2006",27.23
130.0,13.0,"""Kiss-Kiss, Bye-Bye""",Danny Cannon,David Rambo,"January26,2006",25.86
132.0,15.0,"""Pirates of the Third Reich""",Richard J. Lewis,Jerry Stahl,"February9,2006",27.42
133.0,16.0,"""Up in Smoke""",Duane Clark,Josh Berman,"March2,2006",27.81
134.0,17.0,"""I Like to Watch""",Kenneth Fink,Richard Catalani & Henry Alonso Myers,"March9,2006",27.16
135.0,18.0,"""The Unusual Suspect""",Alec Smight,Allen MacDonald,"March30,2006",25.23
136.0,19.0,"""Spellbound""",Jeffrey Hunt,Jacqueline Hoyt,"April6,2006",23.33
137.0,20.0,"""Poppin' Tags""",Bryan Spicer,Dustin Lee Abraham,"April13,2006",24.42
138.0,21.0,"""Rashomama""",Kenneth Fink,Sarah Goldfinger,"April27,2006",27.36
140.0,23.0,"""Bang-Bang"" (Part 1)",Terrence O'Hara,Naren Shankar & Anthony E. Zuiker,"May11,2006",27.04
