Position,Song Title,Artist,Highest Position,Sales
1.0,It Wasn't Me,Shaggy,1.0,1180700.0
2.0,Pure and Simple,Hear'Say,1.0,1078400.0
3.0,Can't Get You out of My Head,Kylie Minogue,1.0,1037235.0
4.0,Whole Again,Atomic Kitten,1.0,939000.0
5.0,Hey Baby,DJ Ötzi,1.0,747000.0
6.0,Uptown Girl,Westlife,1.0,745000.0
7.0,Don't Stop Movin',S Club 7,1.0,710000.0
8.0,Angel,Shaggy featuring Rayvon,1.0,585000.0
9.0,Teenage Dirtbag,Wheatus,2.0,550000.0
10.0,Because I Got High,Afroman,1.0,505000.0
11.0,Do You Really Like It?,DJ Pied Piper and the Masters of Ceremonies,1.0,472960.0
12.0,Clint Eastwood,Gorillaz,4.0,450000.0
13.0,It's Raining Men,Geri Halliwell,1.0,421760.0
14.0,Lady Marmalade,Christina Aguilera / Lil' Kim / Mýa / Pink,1.0,405000.0
15.0,Eternal Flame,Atomic Kitten,1.0,379000.0
16.0,Gotta Get thru This,Daniel Bedingfield,1.0,374000.0
17.0,Mambo No. 5,Bob The Builder,1.0,368000.0
18.0,What Would You Do?,City High,3.0,356000.0
19.0,21 Seconds,So Solid Crew,1.0,350130.0
20.0,Eternity / Road To Mandalay,Robbie Williams,1.0,343000.0
21.0,Have You Ever,S Club 7,1.0,341000.0
22.0,Castles in the Sky,Ian Van Dahl,3.0,316000.0
23.0,Queen of My Heart,Westlife,1.0,307000.0
24.0,Out of Reach,Gabrielle,4.0,292000.0
25.0,Touch Me,Rui Da Silva featuring Cassandra,1.0,291440.0
26.0,Perfect Gentleman,Wyclef Jean,4.0,288000.0
27.0,Rollin',Limp Bizkit,1.0,285000.0
28.0,Follow Me,Uncle Kracker,3.0,283000.0
29.0,Let's Dance,Five,1.0,275000.0
30.0,Somethin' Stupid,Robbie Williams & Nicole Kidman,1.0,274000.0
31.0,I'm like a Bird,Nelly Furtado,5.0,271000.0
32.0,Smooth Criminal,Alien Ant Farm,3.0,269000.0
33.0,Heaven Is a Halfpipe,OPM,4.0,265000.0
34.0,Starlight,Supermen Lovers featuring Mani Hoffman,2.0,263000.0
35.0,Survivor,Destiny's Child,1.0,260500.0
36.0,Purple Pills,D-12,2.0,256000.0
37.0,Chain Reaction / One for Sorrow,Steps,2.0,252000.0
38.0,Butterfly,Crazy Town,3.0,251000.0
39.0,Always Come Back to Your Love,Samantha Mumba,3.0,248000.0
40.0,Another Chance,Roger Sanchez,1.0,246140.0
