Name,League,FA Cup,League Cup,Total
Brian McBride,9.0,3.0,0.0,12.0
Carlos Bocanegra,5.0,0.0,0.0,5.0
Vincenzo Montella,2.0,3.0,0.0,5.0
Heiðar Helguson,3.0,0.0,1.0,4.0
Tomasz Radzinski,2.0,1.0,0.0,3.0
Moritz Volz,2.0,1.0,0.0,3.0
Jimmy Bullard,2.0,0.0,0.0,2.0
Simon Davies,2.0,0.0,0.0,2.0
Claus Jensen,2.0,0.0,0.0,2.0
Zat Knight,2.0,0.0,0.0,2.0
Philippe Christanval,1.0,0.0,0.0,1.0
Clint Dempsey,1.0,0.0,0.0,1.0
Collins John,1.0,0.0,0.0,1.0
Franck Queudrue,1.0,0.0,0.0,1.0
Ian Pearce,1.0,0.0,0.0,1.0
Wayne Routledge,0.0,1.0,0.0,1.0
Own goals,2.0,0.0,0.0,2.0
Total,38.0,9.0,1.0,48.0
