Grid,Constructor,Qual,Rank,Laps,Time/retired
1.0,Kurtis Kraft - Offenhauser,138.39,1.0,200.0,3:53:01.69
12.0,Kurtis Kraft - Offenhauser,137.31,8.0,200.0,+3:30.87
9.0,Kurtis Kraft - Offenhauser,137.53,5.0,200.0,+4:11.50
2.0,Kurtis Kraft - Offenhauser,137.54,4.0,200.0,+4:39.24
3.0,Kurtis Kraft - Offenhauser,136.6,13.0,200.0,+7:49.64
21.0,Kurtis Kraft - Offenhauser,135.74,23.0,200.0,+8:10.21
25.0,Kurtis Kraft - Offenhauser,135.66,27.0,200.0,+8:46.02
20.0,Stevens - Offenhauser,135.92,22.0,200.0,+10:04.55
6.0,Kuzma - Offenhauser,136.02,20.0,196.0,Accident
32.0,Kurtis Kraft - Offenhauser,135.26,31.0,193.0,+7 laps
26.0,Kurtis Kraft - Novi,135.46,30.0,191.0,Accident
19.0,Kurtis Kraft - Offenhauser,135.93,21.0,190.0,+10 laps
4.0,Kuzma - Offenhauser,136.38,15.0,184.0,Engine
31.0,Schroeder - Offenhauser,135.5,29.0,183.0,+17 laps
28.0,Kurtis Kraft - Offenhauser,137.86,2.0,177.0,Magneto
10.0,Kurtis Kraft - Offenhauser,137.46,6.0,177.0,Axle
14.0,Kurtis Kraft - Offenhauser,137.11,10.0,176.0,+24 laps
22.0,Kurtis Kraft - Offenhauser,135.72,25.0,169.0,Oil Leak
18.0,Kurtis Kraft - Offenhauser,136.16,17.0,166.0,Oil Leak
29.0,Kuzma - Offenhauser,136.87,11.0,151.0,Suspension
23.0,Turner - Offenhauser,135.7,26.0,146.0,Transmission
24.0,Kuzma - Offenhauser,135.66,28.0,115.0,Accident
7.0,Kurtis Kraft - Offenhauser,135.73,24.0,107.0,Overheating
27.0,Lesovsky - Offenhauser,135.26,32.0,94.0,Ignition
17.0,Kurtis Kraft - Offenhauser,136.21,16.0,89.0,Magneto
8.0,Kurtis Kraft - Offenhauser,137.66,3.0,86.0,Engine
15.0,Watson - Offenhauser,136.86,12.0,76.0,Accident
13.0,Kurtis Kraft - Offenhauser,137.26,9.0,53.0,Accident
16.0,Kuzma - Offenhauser,136.56,14.0,42.0,Fuel Leak
30.0,Kurtis Kraft - Offenhauser,136.09,18.0,30.0,Magneto
11.0,Bromme - Offenhauser,137.43,7.0,14.0,Oil Leak
33.0,Del Roy - Offenhauser,135.26,33.0,6.0,Ignition
5.0,Stevens - Offenhauser,136.06,19.0,3.0,Accident
