Driver,Constructor,Laps,Time/Retired,Grid
Jack Brabham,Cooper - Climax,36.0,2:21:37.3,1.0
Bruce McLaren,Cooper - Climax,36.0,+ 1:03.3,14.0
Olivier Gendebien,Cooper - Climax,35.0,+ 1 Lap,5.0
Phil Hill,Ferrari,35.0,+ 1 Lap,4.0
Jim Clark,Lotus - Climax,34.0,+ 2 Laps,10.0
Lucien Bianchi,Cooper - Climax,28.0,+ 8 Laps,15.0
Graham Hill,BRM,35.0,Engine,6.0
Alan Stacey,Lotus - Climax,24.0,Fatal accident,17.0
Willy Mairesse,Ferrari,23.0,Transmission,13.0
Wolfgang von Trips,Ferrari,22.0,Transmission,11.0
Chris Bristow,Cooper - Climax,19.0,Fatal accident,9.0
Chuck Daigh,Scarab,16.0,Engine,18.0
Jo Bonnier,BRM,14.0,Engine,7.0
Innes Ireland,Lotus - Climax,13.0,Accident,8.0
Dan Gurney,BRM,4.0,Engine,12.0
Tony Brooks,Cooper - Climax,2.0,Gearbox,2.0
Lance Reventlow,Scarab,1.0,Engine,16.0
Stirling Moss,Lotus - Climax,0.0,Accident,3.0
Mike Taylor,Lotus - Climax,0.0,Accident,19.0
