Rider,Manufacturer,Laps,Time,Grid
Casey Stoner,Ducati,30.0,44:44.982,1.0
Valentino Rossi,Yamaha,30.0,+5.789,2.0
Dani Pedrosa,Honda,30.0,+8.347,9.0
Colin Edwards,Yamaha,30.0,+12.678,5.0
Andrea Dovizioso,Honda,30.0,+14.801,6.0
Jorge Lorenzo,Yamaha,30.0,+15.690,17.0
Nicky Hayden,Honda,30.0,+18.196,4.0
Chris Vermeulen,Suzuki,30.0,+21.666,3.0
Shinya Nakano,Honda,30.0,+29.354,10.0
Anthony West,Kawasaki,30.0,+41.030,7.0
Toni Elias,Ducati,30.0,+44.426,18.0
Randy de Puniet,Honda,30.0,+46.199,14.0
Sylvain Guintoli,Ducati,30.0,+48.731,12.0
Ben Spies,Suzuki,30.0,+49.591,8.0
Alex de Angelis,Honda,30.0,+1:22.186,13.0
Marco Melandri,Ducati,30.0,+1:30.021,15.0
James Toseland,Yamaha,29.0,+1 Lap,16.0
John Hopkins,Kawasaki,16.0,Retirement,11.0
