Rank,Nation,Gold,Silver,Bronze,Total
1,South Korea,8.0,0.0,4.0,12.0
2,United States,2.0,2.0,1.0,5.0
3,Spain,2.0,1.0,4.0,7.0
4,Denmark,2.0,1.0,0.0,3.0
5,Turkey,1.0,3.0,2.0,6.0
6,Chinese Taipei,1.0,2.0,3.0,6.0
7,Netherlands,0.0,2.0,2.0,4.0
8,Canada,0.0,2.0,0.0,2.0
9,Egypt,0.0,1.0,3.0,4.0
10,Germany,0.0,1.0,1.0,2.0
11,Philippines,0.0,1.0,0.0,1.0
12,Mexico,0.0,0.0,3.0,3.0
13,Greece,0.0,0.0,2.0,2.0
14,Argentina,0.0,0.0,1.0,1.0
14,Australia,0.0,0.0,1.0,1.0
14,Brazil,0.0,0.0,1.0,1.0
14,Great Britain,0.0,0.0,1.0,1.0
14,Iran,0.0,0.0,1.0,1.0
14,Japan,0.0,0.0,1.0,1.0
14,Sweden,0.0,0.0,1.0,1.0
Total,Total,16.0,16.0,32.0,64.0
