Year,Entrant,Chassis,Engine,Points
1951.0,Iddings,Meyer,Novi V8,0.0
1952.0,Merkler Machine Works,Kurtis Kraft,Novi V8,0.0
1953.0,Sumar / Chapman Root,Kurtis Kraft,Offenhauser L4,0.0
1954.0,Sumar / Chapman Root,Kurtis Kraft,Offenhauser L4,0.0
1955.0,Sumar / Chapman Root,Kurtis Kraft,Offenhauser L4,0.0
1956.0,Sumar / Chapman Root,Kurtis Kraft,Offenhauser L4,0.0
1957.0,Helse / H.H. Johnson,Kurtis Kraft,Offenhauser L4,0.0
1958.0,Federal Engineering,Kurtis Kraft,Offenhauser L4,0.0
1959.0,Federal Engineering,Kurtis Kraft,Offenhauser L4,0.0
1960.0,Bryant Heating,Kurtis Kraft,Offenhauser L4,0.0
