Position,Club,Games played,Wins,Draws,Loses,Goals scored,Goals conceded,Points
1.0,FBK Kaunas,36.0,25.0,8.0,3.0,91.0,26.0,83.0
2.0,FK Sūduva Marijampolė,36.0,20.0,8.0,8.0,66.0,34.0,68.0
3.0,FK Ekranas,36.0,19.0,9.0,8.0,83.0,36.0,66.0
4.0,FK Žalgiris Vilnius,36.0,18.0,10.0,8.0,64.0,34.0,64.0
5.0,Vėtra Vilnius,36.0,18.0,7.0,11.0,55.0,30.0,61.0
6.0,FK Atlantas,36.0,13.0,6.0,17.0,54.0,45.0,45.0
7.0,FC Vilnius,36.0,13.0,6.0,17.0,54.0,63.0,45.0
8.0,FK Šiauliai,36.0,13.0,6.0,17.0,47.0,50.0,45.0
9.0,FK Šilutė,36.0,6.0,4.0,26.0,28.0,86.0,22.0
10.0,Interas-AE Visaginas,36.0,2.0,2.0,32.0,16.0,154.0,8.0
