Tie No.,Home team,Score,Away team,Report,Attendance
1.0,Aberdeen,3 – 1,Dumbarton,Details,3944.0
2.0,Arbroath,3 – 4 (aet),Falkirk,Details,923.0
3.0,Brechin City,1 – 0,Kilmarnock,Details,829.0
4.0,Clyde,2 – 1,Airdrie United,Details,1381.0
5.0,Dundee United,3 – 1,Morton,Details,5638.0
6.0,Forfar Athletic,( p ) 3 – 3,Motherwell,Details,1110.0
7.0,Hibernian,9 – 0,Montrose,Details,5032.0
8.0,Queen's Park,1 – 3,Livingston,Details,1011.0
9.0,Ross County,0 – 3,Queen of the South,Details,959.0
10.0,St. Johnstone,3 – 2 (aet),Hamilton,Details,1471.0
11.0,Dunfermline,2 – 0,Cowdenbeath,Details,3582.0
