Draw,Artist,Song,Points,Place
1.0,Mitja,"""Cas je da najdem te""",22.0,5.0
2.0,Tatjana Mihelj,"""Dlan okrog srca""",1.0,17.0
3.0,Monika Tratnik,"""Sanje""",3.0,16.0
4.0,Matjaz Zupan & Californija,"""Tisoc kilometrov""",6.0,15.0
5.0,Kantor,"""Drugacen dan""",7.0,13.0
6.0,Victory,"""Le povejte ji""",18.0,9.0
7.0,"Irena, Damjana & Sanja","""Igra je koncana""",22.0,5.0
8.0,Lara Baruca,"""Ti si se bal""",22.0,5.0
9.0,Sound Attack,"""Kje si zdaj""",10.0,11.0
10.0,Darja Švajger,"""Se tisoc let""",64.0,1.0
11.0,Avia Band,"""Ne izdajte me""",24.0,4.0
12.0,Nuša Derenda,"""Nekaj lepega je v meni""",10.0,11.0
13.0,Nude,"""Ši'z d bes""",7.0,13.0
14.0,Babilon,"""Kot ocean""",11.0,10.0
15.0,Tinkara Kovac,"""Zakaj""",62.0,2.0
16.0,Gianni Rijavec & Vladimir Cadez,"""Ljubezen je le ena""",21.0,8.0
17.0,Jan Plestenjak,"""Moja dezela""",38.0,3.0
