Element,Nuclide,Z ( p ),N ( n ),isotopic mass ( u )
beryllium,9 Be,4.0,5.0,9.012 182(3)
fluorine,19 F,9.0,10.0,18.998 403 2(5)
sodium,23 Na,11.0,12.0,22.989 770(2)
aluminium,27 Al,13.0,14.0,26.981 538(2)
phosphorus,31 P,15.0,16.0,30.973 761(2)
scandium,45 Sc,21.0,24.0,44.955 910(8)
manganese,55 Mn,25.0,30.0,54.938 049(9)
cobalt,59 Co,27.0,32.0,58.933 200(9)
arsenic,75 As,33.0,42.0,74.921 60(2)
yttrium,89 Y,39.0,50.0,88.905 85(2)
niobium,93 Nb,41.0,52.0,92.906 38(2)
rhodium,103 Rh,45.0,58.0,102.905 50(2)
iodine,127 I,53.0,74.0,126.904 47(3)
caesium,133 Cs,55.0,78.0,132.905 45(2)
praseodymium,141 Pr,59.0,82.0,140.907 65(2)
terbium,159 Tb,65.0,94.0,158.925 34(2)
holmium,165 Ho,67.0,98.0,164.930 32(2)
thulium,169 Tm,69.0,100.0,168.934 21(2)
gold,197 Au,79.0,118.0,196.966 55(2)
bismuth,209 Bi,83.0,126.0,208.980 38(2)
thorium,232 Th,90.0,142.0,232.038 1(1)
