Round,Overall,Player,Position,School/Club Team
1.0,5.0,Mack Mitchell,Defensive End,Houston
3.0,57.0,Oscar Roan,Tight End,SMU
4.0,82.0,Tony Peters,Cornerback,Oklahoma
5.0,109.0,John Zimba,Defensive End,Villanova
5.0,119.0,Jim Cope,Linebacker,Ohio State
6.0,150.0,Charles Miller,Cornerback,West Virginia
6.0,154.0,Henry Hynoski,Running Back,Temple
7.0,161.0,Merle Wang,Offensive Tackle,TCU
8.0,186.0,Barry Santini,Tight End,Purdue
9.0,213.0,Larry Poole,Running Back,Kent State
9.0,215.0,Floyd Hogan,Safety,Arkansas
10.0,238.0,Stan Lewis,Defensive End,Wayne
11.0,265.0,Tom Marinelli,Guard,Boston College
12.0,290.0,Dick Ambrose,Linebacker,Virginia
13.0,317.0,Willie Armstead,Wide Receiver,Utah
14.0,341.0,Tim Barrett,Running Back,John Carroll
15.0,369.0,Willie Moore,Defensive Tackle,Johnson C. Smith
16.0,394.0,J.K. McKay,Wide Receiver,USC
17.0,421.0,Dave Graf,Linebacker,Penn State
