Team,Stadium,Capacity,Lowest,Highest,Average
Celtic,Celtic Park,60832.0,45000.0,60000.0,56676.0
Rangers,Ibrox Stadium,51082.0,47419.0,50440.0,49143.0
Heart of Midlothian,Tynecastle Stadium,17420.0,10512.0,17131.0,15930.0
Hibernian,Easter Road,17500.0,7650.0,17015.0,13840.0
Aberdeen,Pittodrie,22199.0,8240.0,17798.0,11993.0
Dundee United,Tannadice Park,14209.0,5845.0,13613.0,8530.0
Motherwell 1,Fir Park,13742.0,4259.0,10445.0,6598.0
Kilmarnock,Rugby Park,18128.0,4086.0,11544.0,6181.0
Falkirk,Falkirk Stadium,6935.0,4490.0,6803.0,5567.0
Inverness CT,Caledonian Stadium,7500.0,3420.0,7753.0,4752.0
St. Mirren,Love Street,10800.0,3163.0,7840.0,4547.0
Gretna 1,Fir Park,13742.0,431.0,6137.0,2283.0
